"b","unit","day","dentadult","dentinf","lumadult","luminf"
1,"u1",7,5,0,3,0
1,"u1",12,15,0,2,0
1,"u1",17,27,0,10,1
1,"u1",22,36,0,22,0
1,"u1",27,51,0,20,0
1,"u1",32,20,1,30,1
1,"u1",37,48,3,19,18
1,"u1",42,29,25,10,1
1,"u1",47,33,8,3,3
1,"u1",52,31,3,18,4
1,"u2",7,6,0,1,0
1,"u2",12,2,0,4,0
1,"u2",17,38,0,27,0
1,"u2",22,21,2,22,0
1,"u2",27,108,4,22,1
1,"u2",32,87,15,54,2
1,"u2",37,158,50,59,20
1,"u2",42,25,1,6,4
1,"u2",47,26,11,19,1
1,"u2",52,15,40,9,2
1,"u3",7,2,0,0,0
1,"u3",12,8,0,0,0
1,"u3",17,13,0,1,0
1,"u3",22,25,0,10,0
1,"u3",27,27,0,20,0
1,"u3",32,22,0,38,3
1,"u3",37,50,21,101,1
1,"u3",42,43,19,48,99
1,"u3",47,6,4,30,44
1,"u3",52,10,1,10,10
1,"u4",7,2,0,3,0
1,"u4",12,8,0,2,1
1,"u4",17,21,0,8,0
1,"u4",22,40,0,8,0
1,"u4",27,23,2,24,0
1,"u4",32,40,15,18,4
1,"u4",37,21,2,12,4
1,"u4",42,21,29,3,1
1,"u4",47,87,44,3,2
1,"u4",52,28,2,0,0
1,"u5",7,14,0,3,0
1,"u5",12,12,0,5,0
1,"u5",17,21,3,18,1
1,"u5",22,43,45,8,1
1,"u5",27,36,9,8,4
1,"u5",32,15,14,4,5
1,"u5",37,3,34,1,7
1,"u5",42,3,2,3,1
1,"u5",47,3,1,1,0
1,"u5",52,1,0,0,0
1,"u6",7,1,0,0,0
1,"u6",12,27,0,2,0
1,"u6",17,17,0,3,0
1,"u6",22,9,2,19,0
1,"u6",27,31,1,16,9
1,"u6",32,36,1,39,15
1,"u6",37,3,9,5,8
1,"u6",42,1,0,2,11
1,"u6",47,1,3,3,12
1,"u6",52,0,1,5,7
1,"u7",7,2,0,0,1
1,"u7",12,13,0,2,0
1,"u7",17,11,0,9,1
1,"u7",22,46,0,34,0
1,"u7",27,64,0,20,8
1,"u7",32,18,3,2,14
1,"u7",37,7,6,5,2
1,"u7",42,17,10,1,12
1,"u7",47,10,0,0,0
1,"u7",52,5,1,2,1
1,"u8",7,4,0,4,0
1,"u8",12,9,0,1,0
1,"u8",17,12,1,12,0
1,"u8",22,47,0,55,2
1,"u8",27,40,2,13,51
1,"u8",32,11,1,42,50
1,"u8",37,2,3,25,54
1,"u8",42,6,1,6,11
1,"u8",47,1,1,3,7
1,"u8",52,2,0,4,3
2,"u1",7,2,0,3,0
2,"u1",12,11,0,1,0
2,"u1",17,52,0,9,1
2,"u1",22,76,0,3,1
2,"u1",27,52,37,7,3
2,"u1",32,32,22,2,1
2,"u1",37,21,7,6,0
2,"u1",42,23,5,4,0
2,"u1",47,28,0,3,0
2,"u1",52,6,11,1,3
2,"u2",7,5,0,2,0
2,"u2",12,7,1,3,0
2,"u2",17,27,5,7,0
2,"u2",22,18,13,14,2
2,"u2",27,150,14,24,9
2,"u2",32,136,35,4,1
2,"u2",37,44,53,6,12
2,"u2",42,61,26,2,6
2,"u2",47,26,0,3,0
2,"u2",52,34,25,5,0
2,"u3",7,9,0,2,0
2,"u3",12,0,0,5,0
2,"u3",17,14,1,7,0
2,"u3",22,31,0,12,0
2,"u3",27,38,2,10,0
2,"u3",32,106,3,30,0
2,"u3",37,152,2,48,14
2,"u3",42,52,70,14,5
2,"u3",47,5,25,10,5
2,"u3",52,25,2,7,3
2,"u4",7,1,0,1,0
2,"u4",12,2,0,4,0
2,"u4",17,5,0,4,0
2,"u4",22,17,1,9,0
2,"u4",27,9,0,11,1
2,"u4",32,36,0,10,0
2,"u4",37,52,0,17,0
2,"u4",42,19,8,29,10
2,"u4",47,18,3,15,9
2,"u4",52,2,1,16,0
2,"u5",7,9,0,1,0
2,"u5",12,15,0,3,0
2,"u5",17,14,0,8,0
2,"u5",22,76,0,22,0
2,"u5",27,112,21,14,0
