b,unit,day,dentadult,dentinf,lumadult,luminf
1,u1,7.0,1.0,0.0,0.0,0.0
1,u1,12.0,10.0,0.0,5.0,0.0
1,u1,17.0,2.0,0.0,3.0,0.0
1,u1,22.0,25.0,3.0,6.0,0.0
1,u1,27.0,26.0,6.0,5.0,0.0
1,u1,32.0,76.0,2.0,6.0,7.0
1,u1,37.0,8.0,8.0,1.0,3.0
1,u1,42.0,16.0,0.0,5.0,1.0
1,u1,47.0,2.0,9.0,10.0,1.0
1,u1,52.0,14.0,2.0,3.0,1.0
1,u2,7.0,3.0,0.0,0.0,0.0
1,u2,12.0,4.0,0.0,4.0,0.0
1,u2,17.0,6.0,0.0,4.0,0.0
1,u2,22.0,20.0,0.0,13.0,3.0
1,u2,27.0,39.0,0.0,23.0,8.0
1,u2,32.0,21.0,1.0,7.0,23.0
1,u2,37.0,1.0,5.0,0.0,3.0
1,u2,42.0,7.0,2.0,0.0,6.0
1,u2,47.0,3.0,1.0,0.0,1.0
1,u2,52.0,1.0,0.0,1.0,1.0
1,u3,7.0,1.0,0.0,0.0,0.0
1,u3,12.0,3.0,1.0,6.0,0.0
1,u3,17.0,28.0,2.0,10.0,2.0
1,u3,22.0,30.0,12.0,11.0,3.0
1,u3,27.0,127.0,9.0,22.0,3.0
1,u3,32.0,38.0,11.0,14.0,6.0
1,u3,37.0,9.0,2.0,3.0,9.0
1,u3,42.0,7.0,6.0,3.0,32.0
1,u3,47.0,1.0,2.0,1.0,18.0
1,u3,52.0,0.0,1.0,0.0,0.0
1,u4,7.0,17.0,1.0,1.0,0.0
1,u4,12.0,2.0,2.0,1.0,0.0
1,u4,17.0,17.0,1.0,9.0,0.0
1,u4,22.0,16.0,0.0,8.0,1.0
1,u4,27.0,29.0,0.0,17.0,0.0
1,u4,32.0,32.0,4.0,37.0,0.0
1,u4,37.0,43.0,19.0,13.0,12.0
1,u4,42.0,59.0,61.0,7.0,7.0
1,u4,47.0,13.0,21.0,3.0,2.0
1,u4,52.0,6.0,2.0,7.0,0.0
1,u5,7.0,2.0,0.0,5.0,0.0
1,u5,12.0,14.0,0.0,5.0,0.0
1,u5,17.0,79.0,2.0,34.0,0.0
1,u5,22.0,154.0,45.0,91.0,50.0
1,u5,27.0,55.0,25.0,54.0,42.0
1,u5,32.0,32.0,60.0,20.0,27.0
1,u5,37.0,18.0,1.0,6.0,12.0
1,u5,42.0,8.0,29.0,1.0,0.0
1,u5,47.0,0.0,1.0,0.0,1.0
1,u5,52.0,3.0,1.0,0.0,0.0
1,u6,7.0,4.0,0.0,0.0,0.0
1,u6,12.0,27.0,0.0,9.0,0.0
1,u6,17.0,18.0,0.0,3.0,0.0
1,u6,22.0,22.0,0.0,14.0,0.0
1,u6,27.0,89.0,3.0,12.0,0.0
1,u6,32.0,62.0,5.0,34.0,28.0
1,u6,37.0,46.0,8.0,6.0,11.0
1,u6,42.0,17.0,16.0,0.0,9.0
1,u6,47.0,2.0,7.0,2.0,5.0
1,u6,52.0,2.0,1.0,4.0,1.0
1,u7,7.0,3.0,0.0,3.0,0.0
1,u7,12.0,9.0,0.0,10.0,0.0
1,u7,17.0,24.0,1.0,18.0,0.0
1,u7,22.0,33.0,1.0,14.0,0.0
1,u7,27.0,21.0,5.0,19.0,0.0
1,u7,32.0,64.0,27.0,45.0,15.0
1,u7,37.0,34.0,76.0,15.0,6.0
1,u7,42.0,8.0,0.0,8.0,9.0
1,u7,47.0,13.0,3.0,5.0,1.0
1,u7,52.0,1.0,4.0,0.0,10.0
1,u8,7.0,6.0,0.0,0.0,0.0
1,u8,12.0,6.0,0.0,3.0,0.0
1,u8,17.0,9.0,0.0,4.0,0.0
1,u8,22.0,10.0,0.0,10.0,0.0
1,u8,27.0,61.0,5.0,14.0,0.0
1,u8,32.0,92.0,2.0,33.0,1.0
1,u8,37.0,62.0,2.0,24.0,0.0
1,u8,42.0,51.0,18.0,28.0,7.0
1,u8,47.0,14.0,0.0,5.0,2.0
1,u8,52.0,2.0,3.0,1.0,1.0
2,u1,7.0,3.0,0.0,0.0,0.0
2,u1,12.0,10.0,0.0,0.0,0.0
2,u1,17.0,29.0,0.0,11.0,0.0
2,u1,22.0,148.0,1.0,49.0,0.0
2,u1,27.0,95.0,1.0,32.0,0.0
2,u1,32.0,30.0,5.0,28.0,10.0
2,u1,37.0,15.0,43.0,15.0,27.0
2,u1,42.0,10.0,8.0,2.0,4.0
2,u1,47.0,3.0,0.0,1.0,3.0
2,u1,52.0,2.0,1.0,0.0,2.0
2,u2,7.0,0.0,0.0,2.0,0.0
2,u2,12.0,27.0,0.0,12.0,0.0
2,u2,17.0,118.0,1.0,11.0,0.0
2,u2,22.0,41.0,1.0,14.0,3.0
2,u2,27.0,13.0,15.0,15.0,12.0
2,u2,32.0,28.0,18.0,6.0,0.0
2,u2,37.0,3.0,2.0,2.0,1.0
2,u2,42.0,11.0,1.0,2.0,1.0
2,u2,47.0,11.0,1.0,6.0,1.0
2,u2,52.0,7.0,2.0,13.0,3.0
2,u3,7.0,2.0,0.0,0.0,0.0
2,u3,12.0,7.0,0.0,9.0,0.0
2,u3,17.0,13.0,0.0,12.0,0.0
2,u3,22.0,17.0,0.0,57.0,1.0
2,u3,27.0,25.0,2.0,24.0,14.0
2,u3,32.0,0.0,2.0,41.0,27.0
2,u3,37.0,2.0,4.0,10.0,14.0
2,u3,42.0,0.0,0.0,3.0,5.0
2,u3,47.0,0.0,0.0,1.0,4.0
2,u3,52.0,0.0,0.0,0.0,0.0
2,u4,7.0,9.0,0.0,1.0,0.0
2,u4,12.0,6.0,0.0,2.0,0.0
2,u4,17.0,41.0,0.0,18.0,0.0
2,u4,22.0,44.0,3.0,18.0,11.0
2,u4,27.0,48.0,13.0,22.0,8.0
2,u4,32.0,15.0,14.0,17.0,11.0
2,u4,37.0,9.0,0.0,0.0,18.0
2,u4,42.0,19.0,0.0,7.0,3.0
2,u4,47.0,7.0,5.0,1.0,2.0
2,u4,52.0,5.0,1.0,5.0,1.0
2,u5,7.0,0.0,0.0,4.0,0.0
