"b","unit","day","dentadult","lumadult"
1,"u1",7,2,0
1,"u1",12,6,11
1,"u1",17,13,13
1,"u1",22,12,1
1,"u1",27,21,19
1,"u1",32,45,5
1,"u1",37,27,0
1,"u1",42,32,4
1,"u1",47,52,2
1,"u1",52,93,1
1,"u2",7,3,0
1,"u2",12,9,0
1,"u2",17,43,15
1,"u2",22,264,78
1,"u2",27,266,90
1,"u2",32,170,47
1,"u2",37,70,6
1,"u2",42,24,1
1,"u2",47,6,2
1,"u2",52,11,2
1,"u3",7,2,2
1,"u3",12,5,8
1,"u3",17,7,4
1,"u3",22,19,30
1,"u3",27,21,17
1,"u3",32,76,64
1,"u3",37,31,155
1,"u3",42,11,64
1,"u3",47,9,8
1,"u3",52,7,10
1,"u4",7,3,3
1,"u4",12,25,14
1,"u4",17,117,5
1,"u4",22,96,53
1,"u4",27,141,39
1,"u4",32,158,9
1,"u4",37,103,9
1,"u4",42,25,0
1,"u4",47,10,1
1,"u4",52,2,1
1,"u5",7,2,2
1,"u5",12,15,4
1,"u5",17,121,8
1,"u5",22,157,14
1,"u5",27,268,51
1,"u5",32,76,22
1,"u5",37,73,1
1,"u5",42,41,0
1,"u5",47,51,0
1,"u5",52,12,0
1,"u6",7,3,2
1,"u6",12,12,2
1,"u6",17,16,1
1,"u6",22,74,27
1,"u6",27,123,6
1,"u6",32,61,4
1,"u6",37,41,6
1,"u6",42,53,4
1,"u6",47,32,4
1,"u6",52,29,3
1,"u7",7,1,4
1,"u7",12,11,4
1,"u7",17,144,19
1,"u7",22,245,25
1,"u7",27,301,4
1,"u7",32,59,0
1,"u7",37,38,0
1,"u7",42,18,0
1,"u7",47,18,0
1,"u7",52,3,0
1,"u8",7,2,4
1,"u8",12,15,11
1,"u8",17,28,6
1,"u8",22,91,28
1,"u8",27,63,10
1,"u8",32,72,7
1,"u8",37,38,10
1,"u8",42,31,5
1,"u8",47,14,1
1,"u8",52,11,2
1,"u9",7,2,1
1,"u9",12,11,2
1,"u9",17,52,10
1,"u9",22,185,178
1,"u9",27,251,71
1,"u9",32,133,30
1,"u9",37,77,18
1,"u9",42,30,5
1,"u9",47,8,1
1,"u9",52,11,0
2,"u1",7,0,0
2,"u1",12,8,10
2,"u1",17,2,11
2,"u1",22,44,11
2,"u1",27,118,62
2,"u1",32,103,7
2,"u1",37,49,7
2,"u1",42,59,15
2,"u1",47,15,5
2,"u1",52,10,1
2,"u2",7,1,1
2,"u2",12,11,8
2,"u2",17,26,24
2,"u2",22,39,49
2,"u2",27,71,31
2,"u2",32,65,2
2,"u2",37,41,54
2,"u2",42,32,17
2,"u2",47,102,0
2,"u2",52,48,0
2,"u3",7,1,0
2,"u3",12,5,8
2,"u3",17,35,5
2,"u3",22,25,14
2,"u3",27,32,24
2,"u3",32,39,150
2,"u3",37,104,28
2,"u3",42,65,25
2,"u3",47,59,16
2,"u3",52,19,4
2,"u4",7,2,1
2,"u4",12,12,0
2,"u4",17,25,8
2,"u4",22,79,23
2,"u4",27,266,10
2,"u4",32,123,5
2,"u4",37,188,0
2,"u4",42,15,0
2,"u4",47,8,0
2,"u4",52,4,0
2,"u5",7,5,2
2,"u5",12,14,8
2,"u5",17,78,5
2,"u5",22,198,22
2,"u5",27,157,10
2,"u5",32,191,2
2,"u5",37,117,2
2,"u5",42,64,0
2,"u5",47,46,0
2,"u5",52,31,0
2,"u6",7,2,0
2,"u6",12,23,0
2,"u6",17,40,16
2,"u6",22,138,50
2,"u6",27,94,18
2,"u6",32,40,9
2,"u6",37,16,0
2,"u6",42,12,3
2,"u6",47,6,1
2,"u6",52,5,0
2,"u7",7,4,1
2,"u7",12,9,5
2,"u7",17,49,11
2,"u7",22,29,11
2,"u7",27,96,6
2,"u7",32,53,4
2,"u7",37,26,0
2,"u7",42,35,1
2,"u7",47,18,0
2,"u7",52,3,0
2,"u8",7,4,0
2,"u8",12,15,2
2,"u8",17,57,20
2,"u8",22,129,29
2,"u8",27,177,27
2,"u8",32,199,9
2,"u8",37,16,2
2,"u8",42,23,0
2,"u8",47,7,0
2,"u8",52,4,0
2,"u9",7,1,0
2,"u9",12,1,4
2,"u9",17,13,29
2,"u9",22,16,20
2,"u9",27,59,13
2,"u9",32,35,14
2,"u9",37,13,23
2,"u9",42,12,36
2,"u9",47,21,28
2,"u9",52,39,46
3,"u1",7,5,0
3,"u1",12,4,4
3,"u1",17,6,41
3,"u1",22,83,33
3,"u1",27,192,41
3,"u1",32,79,18
3,"u1",37,97,19
3,"u1",42,60,1
3,"u1",47,85,0
3,"u1",52,21,0
3,"u2",7,2,1
3,"u2",12,7,0
3,"u2",17,7,3
3,"u2",22,113,17
3,"u2",27,63,20
3,"u2",32,113,54
3,"u2",37,29,4
3,"u2",42,13,23
3,"u2",47,12,7
3,"u2",52,23,15
3,"u3",7,1,0
3,"u3",12,1,5
3,"u3",17,6,9
3,"u3",22,5,34
3,"u3",27,34,16
3,"u3",32,32,57
3,"u3",37,63,45
3,"u3",42,63,77
3,"u3",47,61,6
3,"u3",52,20,19
3,"u4",7,2,1
3,"u4",12,35,0
3,"u4",17,72,10
3,"u4",22,289,26
3,"u4",27,399,7
3,"u4",32,109,6
3,"u4",37,20,1
3,"u4",42,7,0
3,"u4",47,1,0
3,"u4",52,10,0
3,"u5",7,1,1
3,"u5",12,13,1
3,"u5",17,84,14
3,"u5",22,181,133
3,"u5",27,261,22
3,"u5",32,35,1
3,"u5",37,37,3
3,"u5",42,33,6
3,"u5",47,16,0
3,"u5",52,21,0
3,"u6",7,9,0
3,"u6",12,27,3
3,"u6",17,61,29
3,"u6",22,105,31
3,"u6",27,55,29
3,"u6",32,51,19
3,"u6",37,34,14
3,"u6",42,25,10
3,"u6",47,25,1
3,"u6",52,85,2
3,"u7",7,4,3
3,"u7",12,12,2
3,"u7",17,35,8
3,"u7",22,66,7
3,"u7",27,136,14
3,"u7",32,64,8
3,"u7",37,43,6
3,"u7",42,22,2
3,"u7",47,37,4
3,"u7",52,10,3
3,"u8",7,5,2
3,"u8",12,23,6
3,"u8",17,179,12
3,"u8",22,516,7
3,"u8",27,200,3
3,"u8",32,27,5
3,"u8",37,13,0
3,"u8",42,22,0
3,"u8",47,13,2
3,"u8",52,10,1
3,"u9",7,2,0
3,"u9",12,15,1
3,"u9",17,12,9
3,"u9",22,40,6
3,"u9",27,71,6
3,"u9",32,89,30
3,"u9",37,121,14
3,"u9",42,70,3
3,"u9",47,68,0
3,"u9",52,28,0
4,"u1",7,6,1
4,"u1",12,5,2
4,"u1",17,43,8
4,"u1",22,105,8
4,"u1",27,127,12
4,"u1",32,104,24
4,"u1",37,30,10
4,"u1",42,21,11
4,"u1",47,38,17
4,"u1",52,25,23
4,"u2",7,3,0
4,"u2",12,3,2
4,"u2",17,12,4
4,"u2",22,25,41
4,"u2",27,106,216
4,"u2",32,155,29
4,"u2",37,65,88
4,"u2",42,101,18
4,"u2",47,28,10
4,"u2",52,18,7
4,"u3",7,4,0
4,"u3",12,22,0
4,"u3",17,21,16
4,"u3",22,112,37
4,"u3",27,258,59
4,"u3",32,203,11
4,"u3",37,115,9
4,"u3",42,22,0
4,"u3",47,2,0
4,"u3",52,4,0
4,"u4",7,1,1
4,"u4",12,7,2
4,"u4",17,42,15
4,"u4",22,154,30
4,"u4",27,46,33
4,"u4",32,40,48
4,"u4",37,48,30
4,"u4",42,52,3
4,"u4",47,15,1
4,"u4",52,26,2
4,"u5",7,5,7
4,"u5",12,28,4
4,"u5",17,222,3
4,"u5",22,363,3
4,"u5",27,163,2
4,"u5",32,40,1
4,"u5",37,21,1
4,"u5",42,7,0
4,"u5",47,2,0
4,"u5",52,4,0
4,"u6",7,2,3
4,"u6",12,8,2
4,"u6",17,60,39
4,"u6",22,85,27
4,"u6",27,150,28
4,"u6",32,92,18
4,"u6",37,33,13
4,"u6",42,23,8
4,"u6",47,10,1
4,"u6",52,3,4
4,"u7",7,4,1
4,"u7",12,7,9
4,"u7",17,36,21
4,"u7",22,22,19
4,"u7",27,38,27
4,"u7",32,56,29
4,"u7",37,17,4
4,"u7",42,35,39
4,"u7",47,76,86
4,"u7",52,38,9
4,"u8",7,2,0
4,"u8",12,6,0
4,"u8",17,17,9
4,"u8",22,30,3
4,"u8",27,62,104
4,"u8",32,166,203
4,"u8",37,163,26
4,"u8",42,65,11
4,"u8",47,20,5
4,"u8",52,24,0
4,"u9",7,4,4
4,"u9",12,0,1
4,"u9",17,3,1
4,"u9",22,7,5
4,"u9",27,6,29
4,"u9",32,44,19
4,"u9",37,36,120
4,"u9",42,21,66
4,"u9",47,28,66
4,"u9",52,19,10
5,"u1",7,3,1
5,"u1",12,14,2
5,"u1",17,33,1
5,"u1",22,123,43
5,"u1",27,48,12
5,"u1",32,42,13
5,"u1",37,28,26
5,"u1",42,17,14
5,"u1",47,9,20
5,"u1",52,25,48
5,"u2",7,2,2
5,"u2",12,9,9
5,"u2",17,22,4
5,"u2",22,51,7
5,"u2",27,135,11
5,"u2",32,155,25
5,"u2",37,50,2
5,"u2",42,18,8
5,"u2",47,14,5
5,"u2",52,9,2
5,"u3",7,0,1
5,"u3",12,3,9
5,"u3",17,12,6
5,"u3",22,100,34
5,"u3",27,88,22
5,"u3",32,65,19
5,"u3",37,11,14
5,"u3",42,3,4
5,"u3",47,2,0
5,"u3",52,0,2
5,"u4",7,2,0
5,"u4",12,7,2
5,"u4",17,6,4
5,"u4",22,33,48
5,"u4",27,31,51
5,"u4",32,81,47
5,"u4",37,60,21
5,"u4",42,8,18
5,"u4",47,22,38
5,"u4",52,46,6
5,"u5",7,1,1
5,"u5",12,2,1
5,"u5",17,5,3
5,"u5",22,14,2
5,"u5",27,47,33
5,"u5",32,91,24
5,"u5",37,137,21
5,"u5",42,30,5
5,"u5",47,43,10
5,"u5",52,19,1
5,"u6",7,1,0
5,"u6",12,15,4
5,"u6",17,32,2
5,"u6",22,148,29
5,"u6",27,216,45
5,"u6",32,80,11
5,"u6",37,57,3
5,"u6",42,4,1
5,"u6",47,5,0
5,"u6",52,2,0
5,"u7",7,0,1
5,"u7",12,9,2
5,"u7",17,64,28
5,"u7",22,144,34
5,"u7",27,333,81
5,"u7",32,123,7
5,"u7",37,34,7
5,"u7",42,5,2
5,"u7",47,5,0
5,"u7",52,1,0
5,"u8",7,6,0
5,"u8",12,12,2
5,"u8",17,16,10
5,"u8",22,55,15
5,"u8",27,70,7
5,"u8",32,172,18
5,"u8",37,86,11
5,"u8",42,32,5
5,"u8",47,16,5
5,"u8",52,6,3
5,"u9",7,4,1
5,"u9",12,16,14
5,"u9",17,41,25
5,"u9",22,231,101
5,"u9",27,183,95
5,"u9",32,123,13
5,"u9",37,39,3
5,"u9",42,12,0
5,"u9",47,12,1
5,"u9",52,4,0
6,"u1",7,1,2
6,"u1",12,11,3
6,"u1",17,34,47
6,"u1",22,106,42
6,"u1",27,50,171
6,"u1",32,80,51
6,"u1",37,105,29
6,"u1",42,52,12
6,"u1",47,12,1
6,"u1",52,4,4
6,"u2",7,0,3
6,"u2",12,17,0
6,"u2",17,21,7
6,"u2",22,57,56
6,"u2",27,165,34
6,"u2",32,123,39
6,"u2",37,30,22
6,"u2",42,18,1
6,"u2",47,9,3
6,"u2",52,6,1
6,"u3",7,1,3
6,"u3",12,12,5
6,"u3",17,17,5
6,"u3",22,8,6
6,"u3",27,39,19
6,"u3",32,20,41
6,"u3",37,28,11
6,"u3",42,82,30
6,"u3",47,39,151
6,"u3",52,36,40
6,"u4",7,3,1
6,"u4",12,10,2
6,"u4",17,19,17
6,"u4",22,77,33
6,"u4",27,124,106
6,"u4",32,53,76
6,"u4",37,11,45
6,"u4",42,11,2
6,"u4",47,2,7
6,"u4",52,6,12
6,"u5",7,5,0
6,"u5",12,6,5
6,"u5",17,13,17
6,"u5",22,39,17
6,"u5",27,31,25
6,"u5",32,79,63
6,"u5",37,54,59
6,"u5",42,29,4
6,"u5",47,6,6
6,"u5",52,7,15
6,"u6",7,3,0
6,"u6",12,1,5
6,"u6",17,9,8
6,"u6",22,19,10
6,"u6",27,37,4
6,"u6",32,27,12
6,"u6",37,5,18
6,"u6",42,5,5
6,"u6",47,13,16
6,"u6",52,14,5
6,"u7",7,1,1
6,"u7",12,14,4
6,"u7",17,16,8
6,"u7",22,17,53
6,"u7",27,35,22
6,"u7",32,53,19
6,"u7",37,54,13
6,"u7",42,28,23
6,"u7",47,19,26
6,"u7",52,11,18
6,"u8",7,4,3
6,"u8",12,15,1
6,"u8",17,60,10
6,"u8",22,36,5
6,"u8",27,23,6
6,"u8",32,10,4
6,"u8",37,38,13
6,"u8",42,33,14
6,"u8",47,63,15
6,"u8",52,83,43
6,"u9",7,0,1
6,"u9",12,2,0
6,"u9",17,18,5
6,"u9",22,45,11
6,"u9",27,92,94
6,"u9",32,120,18
6,"u9",37,159,30
6,"u9",42,59,33
6,"u9",47,41,7
6,"u9",52,34,3
7,"u1",7,3,3
7,"u1",12,23,7
7,"u1",17,108,23
7,"u1",22,349,5
7,"u1",27,154,7
7,"u1",32,250,1
7,"u1",37,20,0
7,"u1",42,3,0
7,"u1",47,8,0
7,"u1",52,2,0
7,"u2",7,3,0
7,"u2",12,10,6
7,"u2",17,6,15
7,"u2",22,106,65
7,"u2",27,98,131
7,"u2",32,135,74
7,"u2",37,87,21
7,"u2",42,5,8
7,"u2",47,0,3
7,"u2",52,1,2
7,"u3",7,1,2
7,"u3",12,9,1
7,"u3",17,26,21
7,"u3",22,101,59
7,"u3",27,103,217
7,"u3",32,109,54
7,"u3",37,27,10
7,"u3",42,10,6
7,"u3",47,10,12
7,"u3",52,1,8
7,"u4",7,1,0
7,"u4",12,5,1
7,"u4",17,7,17
7,"u4",22,28,11
7,"u4",27,419,52
7,"u4",32,263,45
7,"u4",37,73,15
7,"u4",42,19,2
7,"u4",47,24,0
7,"u4",52,8,0
7,"u5",7,8,0
7,"u5",12,13,6
7,"u5",17,11,6
7,"u5",22,49,10
7,"u5",27,150,24
7,"u5",32,77,82
7,"u5",37,41,23
7,"u5",42,31,21
7,"u5",47,25,2
7,"u5",52,16,1
7,"u6",7,6,0
7,"u6",12,27,5
7,"u6",17,41,25
7,"u6",22,191,76
7,"u6",27,223,12
7,"u6",32,316,4
7,"u6",37,124,1
7,"u6",42,31,0
7,"u6",47,27,0
7,"u6",52,6,0
7,"u7",7,3,2
7,"u7",12,15,2
7,"u7",17,47,16
7,"u7",22,26,59
7,"u7",27,54,95
7,"u7",32,22,99
7,"u7",37,31,74
7,"u7",42,22,24
7,"u7",47,25,32
7,"u7",52,14,9
7,"u8",7,4,1
7,"u8",12,7,5
7,"u8",17,36,7
7,"u8",22,58,15
7,"u8",27,111,30
7,"u8",32,72,28
7,"u8",37,60,19
7,"u8",42,99,7
7,"u8",47,32,8
7,"u8",52,11,1
7,"u9",7,2,0
7,"u9",12,14,3
7,"u9",17,17,3
7,"u9",22,83,23
7,"u9",27,50,25
7,"u9",32,168,46
7,"u9",37,241,5
7,"u9",42,102,3
7,"u9",47,66,0
7,"u9",52,34,0
8,"u1",7,2,1
8,"u1",12,25,9
8,"u1",17,33,34
8,"u1",22,112,29
8,"u1",27,87,20
8,"u1",32,37,8
8,"u1",37,36,6
8,"u1",42,31,1
8,"u1",47,13,0
8,"u1",52,13,3
8,"u2",7,5,1
8,"u2",12,38,3
8,"u2",17,228,32
8,"u2",22,243,42
8,"u2",27,73,9
8,"u2",32,23,0
8,"u2",37,19,0
8,"u2",42,4,0
8,"u2",47,6,0
8,"u2",52,6,0
8,"u3",7,4,0
8,"u3",12,1,7
8,"u3",17,7,10
8,"u3",22,38,31
8,"u3",27,81,70
8,"u3",32,71,80
8,"u3",37,94,29
8,"u3",42,25,36
8,"u3",47,40,5
8,"u3",52,6,5
8,"u4",7,4,0
8,"u4",12,5,0
8,"u4",17,34,30
8,"u4",22,124,31
8,"u4",27,169,42
8,"u4",32,198,3
8,"u4",37,50,2
8,"u4",42,34,0
8,"u4",47,12,0
8,"u4",52,1,0
8,"u5",7,5,1
8,"u5",12,6,1
8,"u5",17,6,5
8,"u5",22,35,11
8,"u5",27,125,26
8,"u5",32,154,8
8,"u5",37,69,2
8,"u5",42,39,6
8,"u5",47,20,0
8,"u5",52,4,0
8,"u6",7,1,0
8,"u6",12,11,4
8,"u6",17,31,5
8,"u6",22,57,6
8,"u6",27,59,11
8,"u6",32,37,8
8,"u6",37,51,1
8,"u6",42,37,15
8,"u6",47,42,13
8,"u6",52,35,0
8,"u7",7,6,2
8,"u7",12,21,3
8,"u7",17,94,8
8,"u7",22,300,11
8,"u7",27,203,22
8,"u7",32,168,3
8,"u7",37,84,1
8,"u7",42,17,0
8,"u7",47,31,0
8,"u7",52,14,0
8,"u8",7,7,0
8,"u8",12,11,0
8,"u8",17,43,15
8,"u8",22,85,26
8,"u8",27,143,54
8,"u8",32,115,33
8,"u8",37,110,13
8,"u8",42,52,5
8,"u8",47,55,1
8,"u8",52,31,4
8,"u9",7,1,2
8,"u9",12,10,12
8,"u9",17,84,7
8,"u9",22,142,9
8,"u9",27,110,33
8,"u9",32,91,8
8,"u9",37,46,4
8,"u9",42,60,4
8,"u9",47,22,0
8,"u9",52,12,0
9,"u1",7,3,0
9,"u1",12,15,4
9,"u1",17,50,16
9,"u1",22,203,1
9,"u1",27,206,4
9,"u1",32,86,1
9,"u1",37,20,1
