"b","unit","day","dentadult","dentinf"
1,"u1",7,6,0
1,"u1",12,19,0
1,"u1",17,35,0
1,"u1",22,56,0
1,"u1",27,89,0
1,"u1",32,125,4
1,"u1",37,126,47
1,"u1",42,62,25
1,"u1",47,33,3
1,"u1",52,35,19
1,"u2",7,12,1
1,"u2",12,12,0
1,"u2",17,12,0
1,"u2",22,18,0
1,"u2",27,36,0
1,"u2",32,36,5
1,"u2",37,61,9
1,"u2",42,41,5
1,"u2",47,35,14
1,"u2",52,46,1
1,"u3",7,4,0
1,"u3",12,20,0
1,"u3",17,50,0
1,"u3",22,44,3
1,"u3",27,31,10
1,"u3",32,35,16
1,"u3",37,17,2
1,"u3",42,1,10
1,"u3",47,0,1
1,"u3",52,0,0
1,"u4",7,3,0
1,"u4",12,13,0
1,"u4",17,11,0
1,"u4",22,55,0
1,"u4",27,224,0
1,"u4",32,301,1
1,"u4",37,216,131
1,"u4",42,285,5
1,"u4",47,96,41
1,"u4",52,45,25
1,"u5",7,5,0
1,"u5",12,24,0
1,"u5",17,29,0
1,"u5",22,47,0
1,"u5",27,87,2
1,"u5",32,308,6
1,"u5",37,112,38
1,"u5",42,67,56
1,"u5",47,42,14
1,"u5",52,5,12
1,"u6",7,2,0
1,"u6",12,23,0
1,"u6",17,39,0
1,"u6",22,175,0
1,"u6",27,151,1
1,"u6",32,219,1
1,"u6",37,72,2
1,"u6",42,148,2
1,"u6",47,57,0
1,"u6",52,47,2
1,"u7",7,5,0
1,"u7",12,13,1
1,"u7",17,27,2
1,"u7",22,14,12
1,"u7",27,29,41
1,"u7",32,20,25
1,"u7",37,3,43
1,"u7",42,1,20
1,"u7",47,4,4
1,"u7",52,8,0
1,"u8",7,13,0
1,"u8",12,29,0
1,"u8",17,30,0
1,"u8",22,95,2
1,"u8",27,98,20
1,"u8",32,109,11
1,"u8",37,45,6
1,"u8",42,32,0
1,"u8",47,4,0
1,"u8",52,5,0
2,"u1",7,7,0
2,"u1",12,22,1
2,"u1",17,51,3
2,"u1",22,69,1
2,"u1",27,57,5
2,"u1",32,55,12
2,"u1",37,11,10
2,"u1",42,11,2
2,"u1",47,2,1
2,"u1",52,7,0
2,"u2",7,8,0
2,"u2",12,14,0
2,"u2",17,19,0
2,"u2",22,78,9
2,"u2",27,83,3
2,"u2",32,127,31
2,"u2",37,93,5
2,"u2",42,82,17
2,"u2",47,43,26
2,"u2",52,21,11
2,"u3",7,1,0
2,"u3",12,22,0
2,"u3",17,43,0
2,"u3",22,94,0
2,"u3",27,286,6
2,"u3",32,131,185
2,"u3",37,139,229
2,"u3",42,47,48
2,"u3",47,26,0
2,"u3",52,32,0
2,"u4",7,7,0
2,"u4",12,14,0
2,"u4",17,51,0
2,"u4",22,97,0
2,"u4",27,109,0
2,"u4",32,173,0
2,"u4",37,391,17
2,"u4",42,176,66
2,"u4",47,137,54
2,"u4",52,31,7
2,"u5",7,10,0
2,"u5",12,12,0
2,"u5",17,21,0
2,"u5",22,64,1
2,"u5",27,99,7
2,"u5",32,94,2
2,"u5",37,44,1
2,"u5",42,34,5
2,"u5",47,17,9
2,"u5",52,5,25
2,"u6",7,10,0
2,"u6",12,55,0
2,"u6",17,189,1
2,"u6",22,255,21
2,"u6",27,328,51
2,"u6",32,87,78
2,"u6",37,74,17
2,"u6",42,13,1
2,"u6",47,3,3
2,"u6",52,0,0
2,"u7",7,3,0
2,"u7",12,29,0
2,"u7",17,132,0
2,"u7",22,138,1
2,"u7",27,112,0
2,"u7",32,223,46
2,"u7",37,49,14
2,"u7",42,14,4
2,"u7",47,23,1
2,"u7",52,21,0
2,"u8",7,6,0
2,"u8",12,10,0
2,"u8",17,38,0
2,"u8",22,45,0
2,"u8",27,182,1
2,"u8",32,313,0
2,"u8",37,164,25
2,"u8",42,142,12
2,"u8",47,75,19
2,"u8",52,13,3
3,"u1",7,4,0
3,"u1",12,30,0
3,"u1",17,33,1
3,"u1",22,55,0
3,"u1",27,48,0
3,"u1",32,85,0
3,"u1",37,173,2
3,"u1",42,191,2
3,"u1",47,206,40
3,"u1",52,188,308
3,"u2",7,7,0
3,"u2",12,35,0
3,"u2",17,44,0
3,"u2",22,119,0
3,"u2",27,63,2
3,"u2",32,69,19
3,"u2",37,103,69
3,"u2",42,9,80
3,"u2",47,6,2
3,"u2",52,1,0
3,"u3",7,5,0
3,"u3",12,20,0
3,"u3",17,43,0
3,"u3",22,200,0
3,"u3",27,105,0
3,"u3",32,182,15
3,"u3",37,70,42
3,"u3",42,28,92
3,"u3",47,4,0
3,"u3",52,3,0
3,"u4",7,2,0
3,"u4",12,14,0
3,"u4",17,17,7
3,"u4",22,74,6
3,"u4",27,36,3
3,"u4",32,39,6
3,"u4",37,33,1
3,"u4",42,11,4
3,"u4",47,4,1
3,"u4",52,2,1
3,"u5",7,10,0
3,"u5",12,31,1
3,"u5",17,81,1
3,"u5",22,97,1
3,"u5",27,85,13
3,"u5",32,49,132
3,"u5",37,10,6
3,"u5",42,2,9
3,"u5",47,1,0
3,"u5",52,0,0
3,"u6",7,3,0
3,"u6",12,26,0
3,"u6",17,60,0
3,"u6",22,172,0
3,"u6",27,232,1
3,"u6",32,109,55
3,"u6",37,46,88
3,"u6",42,28,106
3,"u6",47,16,1
3,"u6",52,13,1
3,"u7",7,6,0
3,"u7",12,31,0
3,"u7",17,103,0
3,"u7",22,127,0
3,"u7",27,164,1
3,"u7",32,288,18
3,"u7",37,140,119
3,"u7",42,47,73
3,"u7",47,40,26
3,"u7",52,27,6
3,"u8",7,6,0
3,"u8",12,38,1
3,"u8",17,84,0
3,"u8",22,139,0
3,"u8",27,154,4
3,"u8",32,145,22
3,"u8",37,43,18
3,"u8",42,12,1
3,"u8",47,8,3
3,"u8",52,1,10
4,"u1",7,9,0
4,"u1",12,19,0
4,"u1",17,36,3
4,"u1",22,21,1
4,"u1",27,66,4
4,"u1",32,49,1
4,"u1",37,49,0
4,"u1",42,104,0
4,"u1",47,139,4
4,"u1",52,52,18
4,"u2",7,7,0
4,"u2",12,26,0
4,"u2",17,35,2
4,"u2",22,97,0
4,"u2",27,201,15
4,"u2",32,114,0
4,"u2",37,30,59
4,"u2",42,19,4
4,"u2",47,12,23
4,"u2",52,5,1
4,"u3",7,9,0
4,"u3",12,10,0
4,"u3",17,24,0
4,"u3",22,41,0
4,"u3",27,62,8
4,"u3",32,218,4
4,"u3",37,100,21
4,"u3",42,104,25
4,"u3",47,15,5
4,"u3",52,7,7
4,"u4",7,9,0
4,"u4",12,11,0
4,"u4",17,29,36
4,"u4",22,30,61
4,"u4",27,5,1
4,"u4",32,13,0
4,"u4",37,11,1
4,"u4",42,17,0
4,"u4",47,11,6
4,"u4",52,3,1
4,"u5",7,2,0
4,"u5",12,18,1
4,"u5",17,22,0
4,"u5",22,61,1
4,"u5",27,132,0
4,"u5",32,223,1
4,"u5",37,165,8
4,"u5",42,138,78
4,"u5",47,43,5
4,"u5",52,41,71
4,"u6",7,13,0
4,"u6",12,17,0
4,"u6",17,99,3
4,"u6",22,133,9
4,"u6",27,70,23
4,"u6",32,76,20
4,"u6",37,47,27
4,"u6",42,11,6
4,"u6",47,14,6
4,"u6",52,4,0
4,"u7",7,1,0
4,"u7",12,12,0
4,"u7",17,23,0
4,"u7",22,62,0
4,"u7",27,85,0
4,"u7",32,118,0
4,"u7",37,115,0
4,"u7",42,97,25
4,"u7",47,57,1
4,"u7",52,97,3
4,"u8",7,2,0
4,"u8",12,6,0
4,"u8",17,51,0
4,"u8",22,70,1
4,"u8",27,120,0
4,"u8",32,232,4
4,"u8",37,107,3
4,"u8",42,41,42
4,"u8",47,6,3
4,"u8",52,8,1
5,"u1",7,7,0
5,"u1",12,23,0
5,"u1",17,29,0
5,"u1",22,76,0
5,"u1",27,346,0
5,"u1",32,383,0
5,"u1",37,223,5
5,"u1",42,276,17
5,"u1",47,140,2
5,"u1",52,26,32
5,"u2",7,11,0
5,"u2",12,41,0
5,"u2",17,93,4
5,"u2",22,161,39
5,"u2",27,192,13
5,"u2",32,47,6
5,"u2",37,10,3
5,"u2",42,26,0
5,"u2",47,25,0
5,"u2",52,19,0
5,"u3",7,8,0
5,"u3",12,34,0
5,"u3",17,35,0
5,"u3",22,95,12
5,"u3",27,105,11
5,"u3",32,143,41
5,"u3",37,73,10
5,"u3",42,13,0
5,"u3",47,4,2
5,"u3",52,6,3
5,"u4",7,3,0
5,"u4",12,6,0
5,"u4",17,27,0
5,"u4",22,109,5
5,"u4",27,252,14
5,"u4",32,166,11
5,"u4",37,46,29
5,"u4",42,8,32
5,"u4",47,11,2
5,"u4",52,8,7
5,"u5",7,5,0
5,"u5",12,21,0
5,"u5",17,39,1
5,"u5",22,49,0
5,"u5",27,93,3
5,"u5",32,82,37
5,"u5",37,33,6
5,"u5",42,65,15
5,"u5",47,65,9
5,"u5",52,72,1
5,"u6",7,13,0
5,"u6",12,26,0
5,"u6",17,140,0
5,"u6",22,160,2
5,"u6",27,280,14
5,"u6",32,119,8
5,"u6",37,30,19
5,"u6",42,11,2
5,"u6",47,12,0
5,"u6",52,15,0
5,"u7",7,4,0
5,"u7",12,7,0
5,"u7",17,61,0
5,"u7",22,207,0
5,"u7",27,118,0
5,"u7",32,181,1
5,"u7",37,230,4
5,"u7",42,35,11
5,"u7",47,40,5
5,"u7",52,46,27
5,"u8",7,3,0
5,"u8",12,14,0
5,"u8",17,22,1
5,"u8",22,46,5
5,"u8",27,38,0
5,"u8",32,36,14
5,"u8",37,66,7
5,"u8",42,30,8
5,"u8",47,43,1
5,"u8",52,44,8
6,"u1",7,6,0
6,"u1",12,32,0
6,"u1",17,38,0
6,"u1",22,71,2
6,"u1",27,113,25
6,"u1",32,83,5
6,"u1",37,51,44
6,"u1",42,28,10
6,"u1",47,24,9
6,"u1",52,18,1
6,"u2",7,2,0
6,"u2",12,13,0
6,"u2",17,31,0
6,"u2",22,98,0
6,"u2",27,135,2
6,"u2",32,219,4
6,"u2",37,125,121
6,"u2",42,62,10
6,"u2",47,32,4
6,"u2",52,52,59
6,"u3",7,9,0
6,"u3",12,10,0
6,"u3",17,14,0
6,"u3",22,58,1
6,"u3",27,138,3
6,"u3",32,173,4
6,"u3",37,93,40
6,"u3",42,122,46
6,"u3",47,51,39
6,"u3",52,28,37
6,"u4",7,6,0
6,"u4",12,17,0
6,"u4",17,34,0
6,"u4",22,207,1
6,"u4",27,246,51
6,"u4",32,29,70
6,"u4",37,7,3
6,"u4",42,6,1
6,"u4",47,1,0
6,"u4",52,1,0
6,"u5",7,1,0
6,"u5",12,13,0
6,"u5",17,26,0
6,"u5",22,64,0
6,"u5",27,144,0
6,"u5",32,228,0
6,"u5",37,315,2
6,"u5",42,241,40
6,"u5",47,101,59
6,"u5",52,91,3
6,"u6",7,8,0
6,"u6",12,7,0
6,"u6",17,17,0
6,"u6",22,47,0
6,"u6",27,122,0
6,"u6",32,140,0
6,"u6",37,197,0
6,"u6",42,238,1
6,"u6",47,204,0
6,"u6",52,210,23
6,"u7",7,11,1
6,"u7",12,19,0
6,"u7",17,42,0
6,"u7",22,124,0
6,"u7",27,258,1
6,"u7",32,153,30
6,"u7",37,181,46
6,"u7",42,125,15
6,"u7",47,55,20
6,"u7",52,31,17
6,"u8",7,7,0
6,"u8",12,19,1
6,"u8",17,25,3
6,"u8",22,37,4
6,"u8",27,76,5
6,"u8",32,18,9
6,"u8",37,9,4
6,"u8",42,10,9
6,"u8",47,13,0
6,"u8",52,41,7
7,"u1",7,6,0
7,"u1",12,9,0
7,"u1",17,31,1
7,"u1",22,70,0
7,"u1",27,177,0
7,"u1",32,252,2
7,"u1",37,125,14
7,"u1",42,105,94
7,"u1",47,35,2
7,"u1",52,19,4
7,"u2",7,4,0
7,"u2",12,5,0
7,"u2",17,17,0
7,"u2",22,67,0
7,"u2",27,216,1
7,"u2",32,121,3
7,"u2",37,201,48
7,"u2",42,66,56
7,"u2",47,15,7
7,"u2",52,6,5
7,"u3",7,10,0
7,"u3",12,7,0
7,"u3",17,19,0
7,"u3",22,43,0
7,"u3",27,132,1
7,"u3",32,130,15
7,"u3",37,152,20
7,"u3",42,84,274
7,"u3",47,23,11
7,"u3",52,6,0
