"b","unit","day","dentadult"
1,"u1",7,3
1,"u1",12,10
1,"u1",17,32
1,"u1",22,65
1,"u1",27,85
1,"u1",32,79
1,"u1",37,48
1,"u1",42,73
1,"u1",47,24
1,"u1",52,25
1,"u2",7,5
1,"u2",12,13
1,"u2",17,31
1,"u2",22,138
1,"u2",27,133
1,"u2",32,130
1,"u2",37,113
1,"u2",42,73
1,"u2",47,60
1,"u2",52,119
1,"u3",7,2
1,"u3",12,4
1,"u3",17,10
1,"u3",22,29
1,"u3",27,32
1,"u3",32,90
1,"u3",37,124
1,"u3",42,196
1,"u3",47,108
1,"u3",52,285
1,"u4",7,5
1,"u4",12,0
1,"u4",17,1
1,"u4",22,12
1,"u4",27,37
1,"u4",32,65
1,"u4",37,187
1,"u4",42,89
1,"u4",47,284
1,"u4",52,255
1,"u5",7,6
1,"u5",12,35
1,"u5",17,87
1,"u5",22,91
1,"u5",27,75
1,"u5",32,28
1,"u5",37,66
1,"u5",42,47
1,"u5",47,54
1,"u5",52,86
1,"u6",7,3
1,"u6",12,19
1,"u6",17,63
1,"u6",22,87
1,"u6",27,219
1,"u6",32,80
1,"u6",37,23
1,"u6",42,14
1,"u6",47,26
1,"u6",52,19
1,"u7",7,5
1,"u7",12,23
1,"u7",17,84
1,"u7",22,98
1,"u7",27,212
1,"u7",32,70
1,"u7",37,52
1,"u7",42,29
1,"u7",47,58
1,"u7",52,98
1,"u8",7,4
1,"u8",12,16
1,"u8",17,44
1,"u8",22,148
1,"u8",27,95
1,"u8",32,117
1,"u8",37,144
1,"u8",42,249
1,"u8",47,91
1,"u8",52,96
1,"u9",7,3
1,"u9",12,20
1,"u9",17,81
1,"u9",22,198
1,"u9",27,119
1,"u9",32,54
1,"u9",37,42
1,"u9",42,42
1,"u9",47,114
1,"u9",52,126
1,"u10",7,5
1,"u10",12,27
1,"u10",17,69
1,"u10",22,178
1,"u10",27,268
1,"u10",32,201
1,"u10",37,185
1,"u10",42,270
1,"u10",47,118
1,"u10",52,148
2,"u1",7,5
2,"u1",12,12
2,"u1",17,38
2,"u1",22,121
2,"u1",27,180
2,"u1",32,87
2,"u1",37,257
2,"u1",42,138
2,"u1",47,122
2,"u1",52,155
2,"u2",7,7
2,"u2",12,6
2,"u2",17,22
2,"u2",22,23
2,"u2",27,181
2,"u2",32,262
2,"u2",37,332
2,"u2",42,87
2,"u2",47,76
2,"u2",52,137
2,"u3",7,5
2,"u3",12,36
2,"u3",17,46
2,"u3",22,200
2,"u3",27,235
2,"u3",32,186
2,"u3",37,252
2,"u3",42,295
2,"u3",47,154
2,"u3",52,116
2,"u4",7,5
2,"u4",12,4
2,"u4",17,54
2,"u4",22,178
2,"u4",27,443
2,"u4",32,124
2,"u4",37,215
2,"u4",42,68
2,"u4",47,23
2,"u4",52,25
2,"u5",7,8
2,"u5",12,59
2,"u5",17,265
2,"u5",22,97
2,"u5",27,168
2,"u5",32,91
2,"u5",37,48
2,"u5",42,53
2,"u5",47,16
2,"u5",52,14
2,"u6",7,3
2,"u6",12,28
2,"u6",17,21
2,"u6",22,53
2,"u6",27,44
2,"u6",32,47
2,"u6",37,31
2,"u6",42,28
2,"u6",47,38
2,"u6",52,136
2,"u7",7,3
2,"u7",12,4
2,"u7",17,27
2,"u7",22,18
2,"u7",27,128
2,"u7",32,139
2,"u7",37,233
2,"u7",42,72
2,"u7",47,39
2,"u7",52,32
2,"u8",7,3
2,"u8",12,9
2,"u8",17,36
2,"u8",22,93
2,"u8",27,291
2,"u8",32,207
2,"u8",37,127
2,"u8",42,67
2,"u8",47,68
2,"u8",52,58
2,"u9",7,3
2,"u9",12,5
2,"u9",17,13
2,"u9",22,27
2,"u9",27,62
2,"u9",32,158
2,"u9",37,165
2,"u9",42,130
2,"u9",47,148
2,"u9",52,184
2,"u10",7,8
2,"u10",12,23
2,"u10",17,20
2,"u10",22,155
2,"u10",27,131
2,"u10",32,137
2,"u10",37,94
2,"u10",42,57
2,"u10",47,38
2,"u10",52,35
3,"u1",7,3
3,"u1",12,18
3,"u1",17,48
3,"u1",22,96
3,"u1",27,343
3,"u1",32,202
3,"u1",37,144
3,"u1",42,146
3,"u1",47,51
3,"u1",52,104
3,"u2",7,5
3,"u2",12,7
3,"u2",17,54
3,"u2",22,91
3,"u2",27,188
3,"u2",32,142
3,"u2",37,42
3,"u2",42,20
3,"u2",47,9
3,"u2",52,12
3,"u3",7,3
3,"u3",12,27
3,"u3",17,50
3,"u3",22,314
3,"u3",27,58
3,"u3",32,36
3,"u3",37,64
3,"u3",42,63
3,"u3",47,21
3,"u3",52,22
3,"u4",7,2
3,"u4",12,15
3,"u4",17,44
3,"u4",22,58
3,"u4",27,183
3,"u4",32,87
3,"u4",37,76
3,"u4",42,105
3,"u4",47,83
3,"u4",52,174
3,"u5",7,1
3,"u5",12,17
3,"u5",17,32
3,"u5",22,94
3,"u5",27,302
3,"u5",32,235
3,"u5",37,65
3,"u5",42,33
3,"u5",47,45
3,"u5",52,60
3,"u6",7,5
3,"u6",12,9
3,"u6",17,14
3,"u6",22,58
3,"u6",27,72
3,"u6",32,169
3,"u6",37,72
3,"u6",42,105
3,"u6",47,135
3,"u6",52,68
3,"u7",7,3
3,"u7",12,7
3,"u7",17,13
3,"u7",22,41
3,"u7",27,128
3,"u7",32,207
3,"u7",37,360
3,"u7",42,70
3,"u7",47,13
3,"u7",52,4
3,"u8",7,7
3,"u8",12,18
3,"u8",17,36
3,"u8",22,112
3,"u8",27,199
3,"u8",32,205
3,"u8",37,102
3,"u8",42,65
3,"u8",47,31
3,"u8",52,24
3,"u9",7,11
3,"u9",12,14
3,"u9",17,31
3,"u9",22,143
3,"u9",27,385
3,"u9",32,176
3,"u9",37,94
3,"u9",42,226
3,"u9",47,132
3,"u9",52,30
3,"u10",7,2
3,"u10",12,11
3,"u10",17,28
3,"u10",22,71
3,"u10",27,127
3,"u10",32,218
3,"u10",37,105
3,"u10",42,24
3,"u10",47,23
3,"u10",52,11
4,"u1",7,3
4,"u1",12,15
4,"u1",17,43
4,"u1",22,68
4,"u1",27,71
4,"u1",32,123
4,"u1",37,93
4,"u1",42,70
4,"u1",47,44
4,"u1",52,39
4,"u2",7,6
4,"u2",12,16
4,"u2",17,43
4,"u2",22,66
4,"u2",27,296
4,"u2",32,161
4,"u2",37,128
4,"u2",42,176
4,"u2",47,78
4,"u2",52,77
4,"u3",7,3
4,"u3",12,20
4,"u3",17,77
4,"u3",22,140
4,"u3",27,179
4,"u3",32,326
4,"u3",37,122
4,"u3",42,34
4,"u3",47,53
4,"u3",52,30
4,"u4",7,5
4,"u4",12,5
4,"u4",17,19
4,"u4",22,59
4,"u4",27,339
4,"u4",32,470
4,"u4",37,467
4,"u4",42,126
4,"u4",47,28
4,"u4",52,12
4,"u5",7,1
4,"u5",12,12
4,"u5",17,29
4,"u5",22,28
4,"u5",27,112
4,"u5",32,84
4,"u5",37,86
4,"u5",42,94
4,"u5",47,103
4,"u5",52,70
4,"u6",7,6
4,"u6",12,7
4,"u6",17,38
4,"u6",22,116
4,"u6",27,364
4,"u6",32,286
4,"u6",37,140
4,"u6",42,152
4,"u6",47,35
4,"u6",52,46
4,"u7",7,0
4,"u7",12,4
4,"u7",17,23
4,"u7",22,120
4,"u7",27,258
4,"u7",32,72
4,"u7",37,55
4,"u7",42,38
4,"u7",47,31
4,"u7",52,42
4,"u8",7,2
4,"u8",12,8
4,"u8",17,76
4,"u8",22,186
4,"u8",27,147
4,"u8",32,57
4,"u8",37,113
4,"u8",42,58
4,"u8",47,41
4,"u8",52,86
4,"u9",7,2
4,"u9",12,11
4,"u9",17,31
4,"u9",22,149
4,"u9",27,380
4,"u9",32,122
4,"u9",37,131
4,"u9",42,79
4,"u9",47,164
4,"u9",52,186
4,"u10",7,13
4,"u10",12,20
4,"u10",17,109
4,"u10",22,469
4,"u10",27,406
4,"u10",32,150
4,"u10",37,14
4,"u10",42,35
4,"u10",47,14
4,"u10",52,17
5,"u1",7,4
5,"u1",12,9
5,"u1",17,22
5,"u1",22,52
5,"u1",27,45
5,"u1",32,74
5,"u1",37,164
5,"u1",42,328
5,"u1",47,730
5,"u1",52,461
5,"u2",7,3
5,"u2",12,14
5,"u2",17,86
5,"u2",22,255
5,"u2",27,180
5,"u2",32,453
5,"u2",37,112
5,"u2",42,81
5,"u2",47,8
5,"u2",52,13
5,"u3",7,5
5,"u3",12,11
5,"u3",17,29
5,"u3",22,77
5,"u3",27,93
5,"u3",32,176
5,"u3",37,316
5,"u3",42,507
5,"u3",47,104
5,"u3",52,40
5,"u4",7,5
5,"u4",12,48
5,"u4",17,102
5,"u4",22,259
5,"u4",27,131
5,"u4",32,80
5,"u4",37,112
5,"u4",42,44
5,"u4",47,19
5,"u4",52,32
5,"u5",7,1
5,"u5",12,13
5,"u5",17,118
5,"u5",22,71
5,"u5",27,129
5,"u5",32,113
5,"u5",37,99
5,"u5",42,172
5,"u5",47,207
5,"u5",52,109
5,"u6",7,3
5,"u6",12,28
5,"u6",17,115
5,"u6",22,145
5,"u6",27,138
5,"u6",32,124
5,"u6",37,119
5,"u6",42,91
5,"u6",47,39
5,"u6",52,47
5,"u7",7,5
5,"u7",12,26
5,"u7",17,120
5,"u7",22,93
5,"u7",27,81
5,"u7",32,88
5,"u7",37,117
5,"u7",42,109
5,"u7",47,45
5,"u7",52,37
5,"u8",7,2
5,"u8",12,12
5,"u8",17,35
5,"u8",22,98
5,"u8",27,188
5,"u8",32,154
5,"u8",37,46
5,"u8",42,18
5,"u8",47,30
5,"u8",52,23
5,"u9",7,5
5,"u9",12,29
5,"u9",17,55
5,"u9",22,114
5,"u9",27,520
5,"u9",32,547
5,"u9",37,69
5,"u9",42,51
5,"u9",47,146
5,"u9",52,104
5,"u10",7,2
5,"u10",12,17
5,"u10",17,17
5,"u10",22,78
5,"u10",27,325
5,"u10",32,346
5,"u10",37,387
5,"u10",42,171
5,"u10",47,94
5,"u10",52,26
6,"u1",7,4
6,"u1",12,19
6,"u1",17,38
6,"u1",22,123
6,"u1",27,136
6,"u1",32,527
6,"u1",37,419
6,"u1",42,288
6,"u1",47,349
6,"u1",52,348
6,"u2",7,2
6,"u2",12,12
6,"u2",17,26
6,"u2",22,60
6,"u2",27,325
6,"u2",32,216
6,"u2",37,234
6,"u2",42,100
6,"u2",47,63
6,"u2",52,60
6,"u3",7,2
6,"u3",12,9
6,"u3",17,34
6,"u3",22,260
6,"u3",27,632
6,"u3",32,519
6,"u3",37,275
6,"u3",42,97
6,"u3",47,137
6,"u3",52,537
6,"u4",7,9
6,"u4",12,13
6,"u4",17,58
6,"u4",22,107
6,"u4",27,147
6,"u4",32,129
6,"u4",37,126
6,"u4",42,126
6,"u4",47,94
6,"u4",52,83
6,"u5",7,1
6,"u5",12,12
6,"u5",17,28
6,"u5",22,70
6,"u5",27,111
6,"u5",32,534
6,"u5",37,134
6,"u5",42,74
6,"u5",47,160
6,"u5",52,300
6,"u6",7,2
6,"u6",12,11
6,"u6",17,79
6,"u6",22,138
6,"u6",27,107
6,"u6",32,135
6,"u6",37,51
6,"u6",42,30
6,"u6",47,38
6,"u6",52,137
6,"u7",7,2
6,"u7",12,10
6,"u7",17,73
6,"u7",22,194
6,"u7",27,310
6,"u7",32,204
6,"u7",37,104
6,"u7",42,159
6,"u7",47,88
6,"u7",52,117
6,"u8",7,6
6,"u8",12,17
6,"u8",17,62
6,"u8",22,149
6,"u8",27,178
6,"u8",32,82
6,"u8",37,122
6,"u8",42,74
6,"u8",47,112
6,"u8",52,85
6,"u9",7,3
6,"u9",12,19
6,"u9",17,44
6,"u9",22,147
6,"u9",27,246
6,"u9",32,262
6,"u9",37,150
6,"u9",42,90
6,"u9",47,72
6,"u9",52,40
6,"u10",7,5
6,"u10",12,13
6,"u10",17,27
6,"u10",22,123
6,"u10",27,101
6,"u10",32,227
6,"u10",37,39
6,"u10",42,51
6,"u10",47,68
6,"u10",52,96
7,"u1",7,10
7,"u1",12,6
7,"u1",17,26
7,"u1",22,66
7,"u1",27,118
7,"u1",32,158
7,"u1",37,134
7,"u1",42,48
7,"u1",47,74
7,"u1",52,31
7,"u2",7,5
7,"u2",12,16
7,"u2",17,61
7,"u2",22,163
7,"u2",27,193
7,"u2",32,142
7,"u2",37,98
7,"u2",42,114
7,"u2",47,96
7,"u2",52,64
7,"u3",7,3
7,"u3",12,11
7,"u3",17,17
7,"u3",22,40
7,"u3",27,58
7,"u3",32,75
7,"u3",37,129
7,"u3",42,218
7,"u3",47,152
7,"u3",52,52
7,"u4",7,5
7,"u4",12,20
7,"u4",17,92
7,"u4",22,122
7,"u4",27,108
7,"u4",32,94
7,"u4",37,48
7,"u4",42,58
7,"u4",47,34
7,"u4",52,15
7,"u5",7,6
7,"u5",12,3
7,"u5",17,30
7,"u5",22,144
7,"u5",27,230
7,"u5",32,360
7,"u5",37,209
7,"u5",42,124
7,"u5",47,32
7,"u5",52,32
7,"u6",7,4
7,"u6",12,28
7,"u6",17,16
7,"u6",22,69
7,"u6",27,190
7,"u6",32,299
7,"u6",37,343
7,"u6",42,325
7,"u6",47,297
7,"u6",52,121
7,"u7",7,1
7,"u7",12,9
7,"u7",17,30
7,"u7",22,47
7,"u7",27,253
7,"u7",32,163
7,"u7",37,101
7,"u7",42,154
7,"u7",47,122
7,"u7",52,194
7,"u8",7,2
7,"u8",12,10
7,"u8",17,31
7,"u8",22,72
7,"u8",27,58
7,"u8",32,129
7,"u8",37,102
7,"u8",42,94
7,"u8",47,161
7,"u8",52,171
7,"u9",7,5
7,"u9",12,16
7,"u9",17,58
7,"u9",22,107
7,"u9",27,244
7,"u9",32,189
7,"u9",37,147
7,"u9",42,113
7,"u9",47,87
7,"u9",52,67
7,"u10",7,0
7,"u10",12,14
7,"u10",17,25
7,"u10",22,96
7,"u10",27,158
7,"u10",32,406
7,"u10",37,234
7,"u10",42,165
7,"u10",47,107
7,"u10",52,63
8,"u1",7,4
8,"u1",12,6
8,"u1",17,21
8,"u1",22,116
8,"u1",27,76
8,"u1",32,275
8,"u1",37,180
8,"u1",42,162
8,"u1",47,43
8,"u1",52,20
8,"u2",7,2
8,"u2",12,5
8,"u2",17,25
8,"u2",22,61
8,"u2",27,165
8,"u2",32,312
8,"u2",37,223
8,"u2",42,79
8,"u2",47,50
8,"u2",52,30
8,"u3",7,3
8,"u3",12,8
8,"u3",17,49
8,"u3",22,63
8,"u3",27,54
8,"u3",32,52
8,"u3",37,74
8,"u3",42,160
8,"u3",47,119
8,"u3",52,47
8,"u4",7,8
8,"u4",12,35
8,"u4",17,56
8,"u4",22,184
8,"u4",27,122
8,"u4",32,83
8,"u4",37,57
8,"u4",42,124
8,"u4",47,135
8,"u4",52,95
8,"u5",7,7
8,"u5",12,9
8,"u5",17,42
8,"u5",22,112
8,"u5",27,278
8,"u5",32,769
8,"u5",37,1024
8,"u5",42,390
8,"u5",47,530
8,"u5",52,107
8,"u6",7,3
8,"u6",12,6
8,"u6",17,11
8,"u6",22,49
8,"u6",27,169
8,"u6",32,79
8,"u6",37,41
8,"u6",42,19
8,"u6",47,50
8,"u6",52,70
8,"u7",7,5
8,"u7",12,27
8,"u7",17,103
8,"u7",22,311
8,"u7",27,144
8,"u7",32,71
8,"u7",37,26
8,"u7",42,21
8,"u7",47,30
8,"u7",52,17
8,"u8",7,7
8,"u8",12,14
8,"u8",17,38
8,"u8",22,65
8,"u8",27,85
8,"u8",32,167
8,"u8",37,59
8,"u8",42,52
8,"u8",47,63
8,"u8",52,113
8,"u9",7,6
8,"u9",12,21
8,"u9",17,51
8,"u9",22,119
8,"u9",27,246
8,"u9",32,172
8,"u9",37,65
8,"u9",42,35
8,"u9",47,116
8,"u9",52,48
8,"u10",7,6
8,"u10",12,28
8,"u10",17,117
8,"u10",22,149
8,"u10",27,61
8,"u10",32,60
8,"u10",37,25
8,"u10",42,21
8,"u10",47,49
8,"u10",52,73
9,"u1",7,4
9,"u1",12,12
9,"u1",17,28
9,"u1",22,73
9,"u1",27,110
9,"u1",32,131
9,"u1",37,111
9,"u1",42,99
9,"u1",47,107
9,"u1",52,210
9,"u2",7,5
9,"u2",12,7
9,"u2",17,14
9,"u2",22,98
9,"u2",27,154
9,"u2",32,167
9,"u2",37,171
9,"u2",42,93
9,"u2",47,51
9,"u2",52,51
9,"u3",7,1
9,"u3",12,8
9,"u3",17,43
9,"u3",22,242
9,"u3",27,257
9,"u3",32,959
9,"u3",37,234
9,"u3",42,151
9,"u3",47,62
9,"u3",52,41
9,"u4",7,9
9,"u4",12,13
9,"u4",17,96
9,"u4",22,243
9,"u4",27,113
9,"u4",32,40
9,"u4",37,50
9,"u4",42,12
9,"u4",47,26
9,"u4",52,19
9,"u5",7,11
9,"u5",12,13
9,"u5",17,34
9,"u5",22,144
9,"u5",27,313
9,"u5",32,117
9,"u5",37,95
9,"u5",42,69
9,"u5",47,72
9,"u5",52,61
9,"u6",7,1
9,"u6",12,19
9,"u6",17,89
9,"u6",22,676
9,"u6",27,347
9,"u6",32,335
9,"u6",37,340
9,"u6",42,122
9,"u6",47,29
9,"u6",52,18
9,"u7",7,5
9,"u7",12,22
9,"u7",17,22
9,"u7",22,91
9,"u7",27,151
9,"u7",32,422
9,"u7",37,107
9,"u7",42,217
9,"u7",47,91
9,"u7",52,62
9,"u8",7,2
9,"u8",12,10
9,"u8",17,32
9,"u8",22,48
9,"u8",27,50
9,"u8",32,209
9,"u8",37,107
9,"u8",42,53
9,"u8",47,113
9,"u8",52,142
9,"u9",7,3
9,"u9",12,3
9,"u9",17,86
9,"u9",22,180
9,"u9",27,218
9,"u9",32,76
9,"u9",37,40
9,"u9",42,17
9,"u9",47,22
9,"u9",52,13
9,"u10",7,2
9,"u10",12,15
9,"u10",17,127
9,"u10",22,100
9,"u10",27,143
9,"u10",32,52
9,"u10",37,24
9,"u10",42,31
9,"u10",47,61
9,"u10",52,40
10,"u1",7,5
10,"u1",12,9
10,"u1",17,14
10,"u1",22,86
10,"u1",27,142
10,"u1",32,191
10,"u1",37,41
10,"u1",42,11
10,"u1",47,14
10,"u1",52,3
10,"u2",7,4
10,"u2",12,27
10,"u2",17,46
10,"u2",22,39
10,"u2",27,97
10,"u2",32,252
10,"u2",37,139
10,"u2",42,63
10,"u2",47,44
10,"u2",52,23
10,"u3",7,2
10,"u3",12,8
10,"u3",17,40
10,"u3",22,104
10,"u3",27,263
10,"u3",32,91
10,"u3",37,57
10,"u3",42,32
10,"u3",47,48
10,"u3",52,84
10,"u4",7,3
10,"u4",12,18
10,"u4",17,65
10,"u4",22,156
10,"u4",27,178
10,"u4",32,78
10,"u4",37,29
10,"u4",42,24
10,"u4",47,12
10,"u4",52,13
10,"u5",7,1
10,"u5",12,3
10,"u5",17,23
10,"u5",22,65
10,"u5",27,177
10,"u5",32,229
10,"u5",37,358
10,"u5",42,109
10,"u5",47,31
10,"u5",52,39
10,"u6",7,0
10,"u6",12,7
10,"u6",17,10
10,"u6",22,30
10,"u6",27,103
10,"u6",32,154
10,"u6",37,92
10,"u6",42,35
10,"u6",47,122
10,"u6",52,93
10,"u7",7,7
10,"u7",12,5
10,"u7",17,48
10,"u7",22,136
10,"u7",27,275
10,"u7",32,176
10,"u7",37,46
10,"u7",42,63
10,"u7",47,68
10,"u7",52,33
10,"u8",7,11
10,"u8",12,19
10,"u8",17,60
10,"u8",22,128
10,"u8",27,375
10,"u8",32,84
10,"u8",37,111
10,"u8",42,88
10,"u8",47,89
10,"u8",52,54
10,"u9",7,2
10,"u9",12,16
10,"u9",17,21
10,"u9",22,48
10,"u9",27,374
10,"u9",32,191
10,"u9",37,76
10,"u9",42,30
10,"u9",47,16
10,"u9",52,9
10,"u10",7,7
10,"u10",12,26
10,"u10",17,18
10,"u10",22,82
10,"u10",27,151
10,"u10",32,129
10,"u10",37,61
10,"u10",42,52
10,"u10",47,115
10,"u10",52,119
11,"u1",7,0
11,"u1",12,5
11,"u1",17,23
11,"u1",22,66
11,"u1",27,106
11,"u1",32,330
11,"u1",37,402
11,"u1",42,443
11,"u1",47,158
11,"u1",52,61
11,"u2",7,2
11,"u2",12,26
11,"u2",17,118
11,"u2",22,296
11,"u2",27,153
11,"u2",32,45
11,"u2",37,19
11,"u2",42,42
11,"u2",47,77
11,"u2",52,241
11,"u3",7,5
11,"u3",12,45
11,"u3",17,31
11,"u3",22,132
11,"u3",27,386
11,"u3",32,188
11,"u3",37,227
11,"u3",42,266
11,"u3",47,105
11,"u3",52,26
11,"u4",7,2
11,"u4",12,4
11,"u4",17,48
11,"u4",22,106
11,"u4",27,322
11,"u4",32,136
11,"u4",37,80
11,"u4",42,27
11,"u4",47,22
11,"u4",52,16
11,"u5",7,4
11,"u5",12,6
11,"u5",17,23
11,"u5",22,68
11,"u5",27,45
11,"u5",32,187
11,"u5",37,77
11,"u5",42,107
11,"u5",47,380
11,"u5",52,283
11,"u6",7,12
11,"u6",12,16
11,"u6",17,50
11,"u6",22,64
11,"u6",27,129
11,"u6",32,373
11,"u6",37,499
11,"u6",42,144
11,"u6",47,207
11,"u6",52,102
11,"u7",7,0
11,"u7",12,13
11,"u7",17,18
11,"u7",22,70
11,"u7",27,157
11,"u7",32,189
11,"u7",37,103
11,"u7",42,35
11,"u7",47,22
11,"u7",52,21
11,"u8",7,11
11,"u8",12,14
11,"u8",17,9
11,"u8",22,54
11,"u8",27,156
11,"u8",32,148
11,"u8",37,70
11,"u8",42,101
11,"u8",47,63
11,"u8",52,19
11,"u9",7,9
11,"u9",12,10
11,"u9",17,94
11,"u9",22,148
11,"u9",27,147
11,"u9",32,303
11,"u9",37,414
11,"u9",42,127
11,"u9",47,42
11,"u9",52,20
11,"u10",7,2
11,"u10",12,5
11,"u10",17,36
11,"u10",22,85
11,"u10",27,136
11,"u10",32,93
11,"u10",37,64
11,"u10",42,14
11,"u10",47,40
11,"u10",52,21
12,"u1",7,1
12,"u1",12,12
12,"u1",17,64
12,"u1",22,134
12,"u1",27,175
12,"u1",32,480
12,"u1",37,454
12,"u1",42,232
12,"u1",47,105
12,"u1",52,60
12,"u2",7,2
12,"u2",12,10
12,"u2",17,11
12,"u2",22,100
12,"u2",27,248
12,"u2",32,421
12,"u2",37,309
12,"u2",42,160
12,"u2",47,102
12,"u2",52,91
