"b","unit","day","dentadult","dentinf"
1,"u1",7,5,1
1,"u1",12,4,0
1,"u1",17,9,0
1,"u1",22,12,0
1,"u1",27,12,2
1,"u1",32,38,3
1,"u1",37,63,10
1,"u1",42,40,9
1,"u1",47,7,22
1,"u1",52,4,14
1,"u2",7,4,0
1,"u2",12,49,2
1,"u2",17,54,0
1,"u2",22,14,1
1,"u2",27,5,5
1,"u2",32,2,1
1,"u2",37,7,1
1,"u2",42,2,3
1,"u2",47,0,0
1,"u2",52,2,0
1,"u3",7,1,0
1,"u3",12,8,2
1,"u3",17,22,1
1,"u3",22,32,0
1,"u3",27,72,3
1,"u3",32,20,4
1,"u3",37,7,0
1,"u3",42,2,6
1,"u3",47,0,3
1,"u3",52,0,0
1,"u4",7,1,0
1,"u4",12,8,0
1,"u4",17,44,1
1,"u4",22,65,4
1,"u4",27,60,8
1,"u4",32,16,9
1,"u4",37,5,6
1,"u4",42,1,0
1,"u4",47,1,4
1,"u4",52,0,1
1,"u5",7,4,0
1,"u5",12,12,0
1,"u5",17,9,4
1,"u5",22,9,0
1,"u5",27,17,0
1,"u5",32,12,0
1,"u5",37,24,0
1,"u5",42,6,5
1,"u5",47,16,0
1,"u5",52,5,1
1,"u6",7,3,0
1,"u6",12,2,2
1,"u6",17,10,0
1,"u6",22,20,0
1,"u6",27,25,2
1,"u6",32,58,13
1,"u6",37,54,17
1,"u6",42,51,9
1,"u6",47,73,28
1,"u6",52,24,6
1,"u7",7,1,0
1,"u7",12,9,0
1,"u7",17,5,0
1,"u7",22,11,1
1,"u7",27,28,2
1,"u7",32,18,4
1,"u7",37,18,8
1,"u7",42,1,3
1,"u7",47,1,3
1,"u7",52,0,2
1,"u8",7,4,0
1,"u8",12,7,0
1,"u8",17,3,0
1,"u8",22,28,1
1,"u8",27,13,1
1,"u8",32,18,3
1,"u8",37,28,1
1,"u8",42,22,2
1,"u8",47,11,2
1,"u8",52,1,2
1,"u9",7,1,0
1,"u9",12,20,0
1,"u9",17,21,0
1,"u9",22,17,0
1,"u9",27,20,1
1,"u9",32,4,0
1,"u9",37,4,0
1,"u9",42,0,2
1,"u9",47,2,0
1,"u9",52,0,0
2,"u1",7,8,0
2,"u1",12,4,2
2,"u1",17,9,0
2,"u1",22,19,1
2,"u1",27,31,2
2,"u1",32,15,0
2,"u1",37,8,0
2,"u1",42,1,3
2,"u1",47,1,0
2,"u1",52,0,0
2,"u2",7,3,0
2,"u2",12,8,0
2,"u2",17,30,0
2,"u2",22,65,5
2,"u2",27,47,25
2,"u2",32,8,11
2,"u2",37,3,11
2,"u2",42,4,0
2,"u2",47,3,2
2,"u2",52,3,0
2,"u3",7,6,0
2,"u3",12,9,0
2,"u3",17,4,0
2,"u3",22,9,0
2,"u3",27,11,1
2,"u3",32,18,0
2,"u3",37,48,2
2,"u3",42,56,12
2,"u3",47,16,2
2,"u3",52,9,2
2,"u4",7,2,0
2,"u4",12,4,0
2,"u4",17,6,0
2,"u4",22,18,0
2,"u4",27,61,0
2,"u4",32,70,3
2,"u4",37,24,0
2,"u4",42,3,0
2,"u4",47,13,1
2,"u4",52,0,1
2,"u5",7,2,0
2,"u5",12,8,0
2,"u5",17,12,4
2,"u5",22,9,0
2,"u5",27,9,1
2,"u5",32,4,0
2,"u5",37,5,4
2,"u5",42,6,0
2,"u5",47,2,0
2,"u5",52,7,0
2,"u6",7,0,0
2,"u6",12,8,1
2,"u6",17,35,0
2,"u6",22,39,0
2,"u6",27,25,1
2,"u6",32,16,0
2,"u6",37,14,0
2,"u6",42,30,0
2,"u6",47,28,0
2,"u6",52,9,0
2,"u7",7,0,0
2,"u7",12,5,0
2,"u7",17,6,0
2,"u7",22,28,2
2,"u7",27,74,1
2,"u7",32,74,5
2,"u7",37,6,6
2,"u7",42,1,6
2,"u7",47,1,0
2,"u7",52,0,0
2,"u8",7,1,0
2,"u8",12,4,0
2,"u8",17,14,0
2,"u8",22,22,1
2,"u8",27,41,13
2,"u8",32,38,0
2,"u8",37,20,3
2,"u8",42,21,3
2,"u8",47,28,3
2,"u8",52,24,0
2,"u9",7,10,0
2,"u9",12,31,2
2,"u9",17,29,3
2,"u9",22,8,3
2,"u9",27,2,0
2,"u9",32,5,2
2,"u9",37,1,2
2,"u9",42,3,0
2,"u9",47,1,1
2,"u9",52,1,0
3,"u1",7,1,0
3,"u1",12,0,0
3,"u1",17,9,0
3,"u1",22,6,0
3,"u1",27,6,0
3,"u1",32,3,0
3,"u1",37,4,0
3,"u1",42,1,0
3,"u1",47,9,1
3,"u1",52,36,1
3,"u2",7,1,0
3,"u2",12,3,0
3,"u2",17,13,0
3,"u2",22,7,0
3,"u2",27,31,0
3,"u2",32,47,1
3,"u2",37,12,0
3,"u2",42,4,0
3,"u2",47,0,0
3,"u2",52,0,1
3,"u3",7,1,0
3,"u3",12,3,0
3,"u3",17,5,0
3,"u3",22,10,0
3,"u3",27,12,0
3,"u3",32,7,0
3,"u3",37,1,2
3,"u3",42,0,0
3,"u3",47,3,0
3,"u3",52,0,0
3,"u4",7,1,0
3,"u4",12,1,0
3,"u4",17,8,0
3,"u4",22,29,1
3,"u4",27,59,4
3,"u4",32,37,4
3,"u4",37,59,0
3,"u4",42,7,1
3,"u4",47,6,1
3,"u4",52,1,1
3,"u5",7,3,0
3,"u5",12,10,0
3,"u5",17,7,1
3,"u5",22,6,0
3,"u5",27,9,0
3,"u5",32,10,3
3,"u5",37,1,1
3,"u5",42,8,2
3,"u5",47,1,3
3,"u5",52,6,0
3,"u6",7,6,0
3,"u6",12,11,0
3,"u6",17,27,1
3,"u6",22,28,0
3,"u6",27,17,1
3,"u6",32,8,2
3,"u6",37,3,0
3,"u6",42,2,1
3,"u6",47,5,0
3,"u6",52,4,0
3,"u7",7,1,0
3,"u7",12,21,0
3,"u7",17,21,0
3,"u7",22,34,2
3,"u7",27,22,1
3,"u7",32,16,3
3,"u7",37,6,0
3,"u7",42,3,0
3,"u7",47,11,2
3,"u7",52,7,0
3,"u8",7,8,0
3,"u8",12,10,1
3,"u8",17,28,0
3,"u8",22,41,0
3,"u8",27,24,7
3,"u8",32,43,1
3,"u8",37,54,15
3,"u8",42,23,7
3,"u8",47,6,0
3,"u8",52,1,4
3,"u9",7,3,0
3,"u9",12,4,1
3,"u9",17,7,0
3,"u9",22,23,4
3,"u9",27,10,0
3,"u9",32,4,0
3,"u9",37,2,0
3,"u9",42,0,0
3,"u9",47,3,0
3,"u9",52,1,0
4,"u1",7,3,0
4,"u1",12,3,0
4,"u1",17,12,0
4,"u1",22,23,0
4,"u1",27,6,0
4,"u1",32,19,4
4,"u1",37,20,0
4,"u1",42,17,0
4,"u1",47,18,1
4,"u1",52,30,4
4,"u2",7,1,0
4,"u2",12,5,0
4,"u2",17,4,0
4,"u2",22,15,2
4,"u2",27,24,0
4,"u2",32,9,1
4,"u2",37,17,1
4,"u2",42,10,0
4,"u2",47,4,5
4,"u2",52,3,0
4,"u3",7,4,0
4,"u3",12,13,1
4,"u3",17,15,0
4,"u3",22,48,0
4,"u3",27,47,3
4,"u3",32,20,6
4,"u3",37,10,0
4,"u3",42,5,1
4,"u3",47,8,0
4,"u3",52,5,4
4,"u4",7,9,0
4,"u4",12,19,0
4,"u4",17,17,4
4,"u4",22,21,2
4,"u4",27,22,0
4,"u4",32,14,0
4,"u4",37,1,36
4,"u4",42,6,0
4,"u4",47,4,1
4,"u4",52,2,1
4,"u5",7,1,0
4,"u5",12,7,0
4,"u5",17,24,1
4,"u5",22,18,0
4,"u5",27,50,2
4,"u5",32,84,0
4,"u5",37,44,32
4,"u5",42,26,1
4,"u5",47,22,1
4,"u5",52,8,9
4,"u6",7,0,0
4,"u6",12,4,0
4,"u6",17,3,0
4,"u6",22,2,0
