"b","unit","day","lumadult"
1,"u1",7,2
1,"u1",12,5
1,"u1",17,4
1,"u1",22,14
1,"u1",27,1
1,"u1",32,25
1,"u1",37,24
1,"u1",42,34
1,"u1",47,33
1,"u1",52,7
1,"u2",7,0
1,"u2",12,4
1,"u2",17,19
1,"u2",22,6
1,"u2",27,55
1,"u2",32,25
1,"u2",37,34
1,"u2",42,128
1,"u2",47,196
1,"u2",52,31
1,"u3",7,4
1,"u3",12,45
1,"u3",17,55
1,"u3",22,144
1,"u3",27,281
1,"u3",32,20
1,"u3",37,23
1,"u3",42,12
1,"u3",47,6
1,"u3",52,2
1,"u4",7,12
1,"u4",12,10
1,"u4",17,22
1,"u4",22,7
1,"u4",27,15
1,"u4",32,33
1,"u4",37,18
1,"u4",42,43
1,"u4",47,16
1,"u4",52,14
1,"u5",7,4
1,"u5",12,17
1,"u5",17,34
1,"u5",22,7
1,"u5",27,19
1,"u5",32,100
1,"u5",37,27
1,"u5",42,1
1,"u5",47,27
1,"u5",52,87
1,"u6",7,3
1,"u6",12,1
1,"u6",17,25
1,"u6",22,21
1,"u6",27,87
1,"u6",32,11
1,"u6",37,198
1,"u6",42,23
1,"u6",47,16
1,"u6",52,18
1,"u7",7,1
1,"u7",12,5
1,"u7",17,7
1,"u7",22,37
1,"u7",27,16
1,"u7",32,40
1,"u7",37,73
1,"u7",42,432
1,"u7",47,112
1,"u7",52,39
1,"u8",7,4
1,"u8",12,3
1,"u8",17,11
1,"u8",22,33
1,"u8",27,32
1,"u8",32,28
1,"u8",37,218
1,"u8",42,15
1,"u8",47,39
1,"u8",52,50
1,"u9",7,1
1,"u9",12,13
1,"u9",17,61
1,"u9",22,44
1,"u9",27,31
1,"u9",32,27
1,"u9",37,31
1,"u9",42,81
1,"u9",47,203
1,"u9",52,22
1,"u10",7,3
1,"u10",12,1
1,"u10",17,24
1,"u10",22,14
1,"u10",27,52
1,"u10",32,50
1,"u10",37,34
1,"u10",42,139
1,"u10",47,82
1,"u10",52,219
2,"u1",7,3
2,"u1",12,0
2,"u1",17,3
2,"u1",22,21
2,"u1",27,48
2,"u1",32,19
2,"u1",37,59
2,"u1",42,28
2,"u1",47,15
2,"u1",52,11
2,"u2",7,0
2,"u2",12,1
2,"u2",17,4
2,"u2",22,6
2,"u2",27,22
2,"u2",32,44
2,"u2",37,51
2,"u2",42,37
2,"u2",47,22
2,"u2",52,32
2,"u3",7,10
2,"u3",12,10
2,"u3",17,14
2,"u3",22,21
2,"u3",27,28
2,"u3",32,82
2,"u3",37,126
2,"u3",42,53
2,"u3",47,12
2,"u3",52,12
2,"u4",7,2
2,"u4",12,3
2,"u4",17,4
2,"u4",22,3
2,"u4",27,121
2,"u4",32,45
2,"u4",37,116
2,"u4",42,70
2,"u4",47,14
2,"u4",52,9
2,"u5",7,3
2,"u5",12,4
2,"u5",17,13
2,"u5",22,27
2,"u5",27,74
2,"u5",32,64
2,"u5",37,57
2,"u5",42,21
2,"u5",47,25
2,"u5",52,22
2,"u6",7,2
2,"u6",12,8
2,"u6",17,19
2,"u6",22,32
2,"u6",27,69
2,"u6",32,338
2,"u6",37,7
2,"u6",42,9
2,"u6",47,38
2,"u6",52,11
2,"u7",7,5
2,"u7",12,0
2,"u7",17,6
2,"u7",22,63
2,"u7",27,145
2,"u7",32,101
2,"u7",37,55
2,"u7",42,21
2,"u7",47,16
2,"u7",52,5
2,"u8",7,3
2,"u8",12,2
2,"u8",17,2
2,"u8",22,6
2,"u8",27,75
2,"u8",32,74
2,"u8",37,18
2,"u8",42,24
2,"u8",47,84
2,"u8",52,24
2,"u9",7,1
2,"u9",12,2
2,"u9",17,12
2,"u9",22,5
2,"u9",27,83
2,"u9",32,111
2,"u9",37,78
2,"u9",42,245
2,"u9",47,83
2,"u9",52,27
2,"u10",7,2
2,"u10",12,4
2,"u10",17,4
2,"u10",22,1
2,"u10",27,4
2,"u10",32,25
2,"u10",37,17
2,"u10",42,107
2,"u10",47,15
2,"u10",52,11
3,"u1",7,3
3,"u1",12,9
3,"u1",17,30
3,"u1",22,83
3,"u1",27,40
3,"u1",32,12
3,"u1",37,29
3,"u1",42,44
3,"u1",47,33
3,"u1",52,70
3,"u2",7,2
3,"u2",12,9
3,"u2",17,22
3,"u2",22,45
3,"u2",27,100
3,"u2",32,16
3,"u2",37,3
3,"u2",42,5
3,"u2",47,10
3,"u2",52,5
3,"u3",7,13
3,"u3",12,11
3,"u3",17,10
3,"u3",22,5
3,"u3",27,10
3,"u3",32,57
3,"u3",37,37
3,"u3",42,65
3,"u3",47,40
3,"u3",52,270
3,"u4",7,5
3,"u4",12,2
3,"u4",17,7
3,"u4",22,9
3,"u4",27,26
3,"u4",32,34
3,"u4",37,81
3,"u4",42,64
3,"u4",47,27
3,"u4",52,5
3,"u5",7,5
3,"u5",12,2
3,"u5",17,4
