"truth","b","ll_null","AIC_null","k_null","ll_alt","AIC_alt","k_alt","Delta_AIC","selected"
"shared",1,-849.469764040029,1746.93952808006,24,-841.442390741642,1744.88478148328,31,-2.05474659677293,"alt"
"shared",2,-817.448318417503,1682.89663683501,24,-809.193829100884,1680.38765820177,31,-2.50897863323644,"alt"
"shared",3,-829.243703418348,1706.4874068367,24,-826.8118380426,1715.6236760852,31,9.13626924850382,"null"
"shared",4,-854.286936904041,1756.57387380808,24,-850.908864495081,1763.81772899016,31,7.24385518208032,"null"
"shared",5,-836.237360054639,1720.47472010928,24,-829.219140678387,1720.43828135677,31,-0.0364387525028178,"alt"
"shared",6,-843.380010228368,1734.76002045674,24,-838.689629450402,1739.3792589008,31,4.61923844406851,"null"
"shared",7,-809.700589807019,1667.40117961404,24,-805.978233549565,1673.95646709913,31,6.55528748509118,"null"
"shared",8,-788.387295660741,1624.77459132148,24,-786.716467454425,1635.43293490885,31,10.6583435873674,"null"
"shared",9,-830.453481769695,1708.90696353939,24,-829.097547121479,1720.19509424296,31,11.2881307035666,"null"
"shared",10,-823.705337260289,1695.41067452058,24,-816.836004441489,1695.67200888298,31,0.261334362400021,"null"
"shared",11,-794.628473151718,1637.25694630344,24,-788.4644779981,1638.9289559962,31,1.6720096927636,"null"
"shared",12,-876.096691261581,1800.19338252316,24,-869.297087709919,1800.59417541984,31,0.40079289667483,"null"
"shared",13,-820.087026462786,1688.17405292557,24,-816.464034493866,1694.92806898773,31,6.75401606215928,"null"
"shared",14,-869.185077577914,1786.37015515583,24,-863.255100775843,1788.51020155169,31,2.14004639585823,"null"
"shared",15,-829.071545434864,1706.14309086973,24,-819.42916420853,1700.85832841706,31,-5.28476245266711,"alt"
"shared",16,-757.492745548744,1562.98549109749,24,-751.553247751847,1565.10649550369,31,2.12100440620475,"null"
"shared",17,-866.355241556766,1780.71048311353,24,-865.184429172219,1792.36885834444,31,11.6583752309043,"null"
"shared",18,-833.668287827577,1715.33657565515,24,-831.716892162878,1725.43378432576,31,10.0972086706008,"null"
"shared",19,-883.80362972036,1815.60725944072,24,-878.67700789062,1819.35401578124,31,3.74675634051937,"null"
"shared",20,-845.315687426658,1738.63137485332,24,-844.856573201846,1751.71314640369,31,13.0817715503749,"null"
"shared",21,-832.442219801978,1712.88443960396,24,-829.302431200753,1720.60486240151,31,7.72042279754942,"null"
"shared",22,-841.456279604832,1730.91255920966,24,-836.719341876742,1735.43868375348,31,4.52612454381892,"null"
"shared",23,-864.35520980988,1776.71041961976,24,-856.71656731146,1775.43313462292,31,-1.2772849968419,"alt"
"shared",24,-891.170906648626,1830.34181329725,24,-886.636858764145,1835.27371752829,31,4.9319042310367,"null"
"shared",25,-862.802760324533,1773.60552064907,24,-858.332347505585,1778.66469501117,31,5.0591743621053,"null"
"shared",26,-824.741136920212,1697.48227384042,24,-817.239000155484,1696.47800031097,31,-1.00427352945621,"alt"
"shared",27,-853.949972296668,1755.89994459334,24,-842.346758126862,1746.69351625372,31,-9.20642833961028,"alt"
"shared",28,-822.844925135083,1693.68985027017,24,-814.593736624432,1691.18747324886,31,-2.50237702130198,"alt"
"shared",29,-801.620210266211,1651.24042053242,24,-791.582846786078,1645.16569357216,31,-6.07472696026639,"alt"
"shared",30,-873.933394525956,1795.86678905191,24,-872.66242755747,1807.32485511494,31,11.4580660630281,"null"
"shared",31,-829.910786321603,1707.82157264321,24,-821.813647842161,1705.62729568432,31,-2.19427695888294,"alt"
"shared",32,-846.507292332076,1741.01458466415,24,-843.680381587558,1749.36076317512,31,8.34617851096436,"null"
"shared",33,-846.009960454299,1740.0199209086,24,-845.379944670617,1752.75988934123,31,12.7399684326363,"null"
"shared",34,-839.390305701714,1726.78061140343,24,-838.743415754622,1739.48683150924,31,12.7062201058154,"null"
"shared",35,-893.29771946958,1834.59543893916,24,-890.339254673947,1842.6785093479,31,8.08307040873478,"null"
"shared",36,-814.012418624003,1676.02483724801,24,-811.707450324106,1685.41490064821,31,9.39006340020433,"null"
"shared",37,-810.227455103246,1668.45491020649,24,-805.528585857592,1673.05717171518,31,4.60226150869153,"null"
"shared",38,-867.265853356064,1782.53170671213,24,-863.569901877699,1789.1398037554,31,6.60809704326971,"null"
"shared",39,-804.478549012491,1656.95709802498,24,-800.706369320538,1663.41273864108,31,6.45564061609457,"null"
"shared",40,-827.323707148787,1702.64741429757,24,-820.690224561937,1703.38044912387,31,0.733034826300354,"null"
"shared",41,-819.329782826205,1686.65956565241,24,-818.800096748512,1699.60019349702,31,12.9406278446149,"null"
"shared",42,-884.013860352134,1816.02772070427,24,-871.442263115962,1804.88452623192,31,-11.1431944723442,"alt"
"shared",43,-853.835339176825,1755.67067835365,24,-849.382701550635,1760.76540310127,31,5.09472474761992,"null"
"shared",44,-865.625659054707,1779.25131810941,24,-864.307109094511,1790.61421818902,31,11.3629000796086,"null"
"shared",45,-830.105941622417,1708.21188324483,24,-826.48528799768,1714.97057599536,31,6.75869275052719,"null"
"shared",46,-819.441523676238,1686.88304735248,24,-815.103315147676,1692.20663029535,31,5.32358294287587,"null"
