"family","alt_name","param_label","k_null","k_alt","df","ll_null_obs","ll_alt_obs","Lambda_obs","p_chisq","p_boot","B_completed","Lambda_boot_mean","Lambda_boot_sd"
"SIRJPF2","xi","$\xi$",24,31,7,-880.559595457257,-879.240739563959,2.63771178659636,0.916375303354493,0.98019801980198,100,12.241104718817,5.62116468974005
"SIRJPF2","theta_Si_theta_Sn","$\theta_S$",24,38,14,-880.559595457257,-872.084980852161,16.9492292101927,0.258893551784387,0.435643564356436,100,15.8711646206605,8.01270958809751
"SIRJPF2","theta_P","$\theta_P$",24,31,7,-880.559595457257,-875.873526804007,9.37213730649955,0.227030533381963,0.138613861386139,100,3.80736259540793,4.3206540941791
"SIRJPF2","theta_Ii_theta_In","$\theta_I$",24,38,14,-880.559595457257,-863.027403162635,35.0643845892446,0.00143811121543457,0.099009900990099,100,23.4901993307446,7.54805442557845
"SIRJPF2","ri_rn","$r$",24,38,14,-880.559595457257,-870.464725857554,20.1897391994062,0.124271976274161,0.95049504950495,100,36.3984944117229,10.5518797980486
"SIRJPF2","probi_probn","$p$",24,38,14,-880.559595457257,-865.80383821102,29.5115144924755,0.0089045517055833,0.386138613861386,100,26.590001731647,8.06393660409918
"SIRJPF2","f_Si_f_Sn","$f_S$",24,38,14,-880.559595457257,-872.492942161339,16.1333065918366,0.305301370841637,0.97029702970297,100,31.7098014977511,9.96587090137885
"SRJF2","f_Si_f_Sn","$f_S$",13,29,16,-701.172337725184,-692.71330537475,16.9180647008682,0.390918171015323,0.95049504950495,100,29.9689405131841,7.80239700789628
"SRJF2","rn_ri","$r$",13,29,16,-701.172337725184,-696.349993665743,9.6446881188806,0.88451328273997,1,100,31.3813828203104,8.0394376056495
"SRJF2","theta_Sn_theta_Si","$\theta_S$",13,29,16,-701.172337725184,-691.195251551785,19.9541723467971,0.22229180424683,0.811881188118812,100,27.1282998025393,7.93948922830959
"Dent_SIRJPF","xi","$\xi$",14,21,7,-567.983862199495,-565.79826133678,4.37120172543132,0.736166067762761,0.94059405940594,100,13.7650227759136,6.99515827324221
"Dent_SIRJPF","theta_Sn","$\theta_S$",14,21,7,-567.983862199495,-565.478756696135,5.01021100672051,0.65871706506291,0.871287128712871,100,11.5854265032711,5.82795068503263
"Dent_SIRJPF","theta_In","$\theta_I$",14,21,7,-567.983862199495,-547.918435229217,40.1308539405568,1.18824120636495e-06,0.0099009900990099,100,15.1185278788151,7.37436140650988
"Dent_SIRJPF","theta_P","$\theta_P$",14,21,7,-567.983862199495,-568.869369116683,-1.77101383437639,1,0.94059405940594,100,0.709801850594655,2.00509258338617
"Dent_SIRJPF","probn","$p$",14,21,7,-567.983862199495,-562.746365381282,10.4749936364258,0.163215381210848,0.792079207920792,100,16.8627135221276,7.70687268895488
"Dent_SIRJPF","rn","$r$",14,21,7,-567.983862199495,-562.951532303802,10.0646597913858,0.184938774465748,0.851485148514851,100,16.6033949296382,5.99973829138874
"Dent_SIRJPF","f_Sn","$f_S$",14,21,7,-567.983862199495,-566.315740376802,3.33624364538559,0.852253819886447,1,100,15.1646182811794,6.26580769469102
"Lum_SIRJPF","xi","$\xi$",14,22,8,-428.357445619751,-416.873320404346,22.9682504308084,0.00340524909624008,0.0697674418604651,85,13.051507193145,5.55605338525496
"Lum_SIRJPF","theta_Si","$\theta_S$",14,22,8,-428.357445619751,-430.006777977268,-3.29866471503396,1,1,85,11.7775126909456,6.75057506122606
"Lum_SIRJPF","theta_Ii","$\theta_I$",14,22,8,-428.357445619751,-419.31793104917,18.0790291411605,0.0206417348685771,0.151162790697674,85,13.5042584132113,5.3868603266306
"Lum_SIRJPF","theta_P","$\theta_P$",14,22,8,-428.357445619751,-428.98609155001,-1.25729186051956,1,0.843373493975904,82,-0.49998675835254,1.31763126163529
"Lum_SIRJPF","probi","$p$",14,22,8,-428.357445619751,-420.66310890206,15.3886734353816,0.0520142168862038,0.308641975308642,80,12.7440649161865,5.86767859811863
"Lum_SIRJPF","ri","$r$",14,22,8,-428.357445619751,-426.306177284949,4.10253666960296,0.847755706178102,0.91358024691358,80,11.1814020283594,6.6267245221141
"Lum_SIRJPF","f_Si","$f_S$",14,22,8,-428.357445619751,-423.261359010266,10.1921732189687,0.25179617524501,0.604938271604938,80,13.1750065173548,7.65770733108694
"Dent_SRJF","theta_Sn","$\theta_S$",7,16,9,-498.780826044071,-489.854672011621,17.8523080649007,0.036926208652647,0.118811881188119,100,11.3872211529364,5.27004602009179
"Dent_SRJF","rn","$r$",7,16,9,-498.780826044071,-496.444876731196,4.67189862575094,0.861920898674894,0.94059405940594,100,10.8055754644546,4.72866722573904
"Dent_SRJF","f_Sn","$f_S$",7,16,9,-498.780826044071,-496.159220909398,5.24321026934501,0.812612505479058,0.910891089108911,100,11.2337584406049,5.06779748763191
"Lum_SRJF","theta_Si","$\theta_S$",7,16,9,-372.147227884661,-365.366270133032,13.5619155032584,0.138784315036247,0.415841584158416,100,13.1526927139325,6.23448268365129
"Lum_SRJF","ri","$r$",7,16,9,-372.147227884661,-366.285590085288,11.7232755987454,0.229363048626911,0.653465346534653,100,14.4763891315071,6.66269212279791
"Lum_SRJF","f_Si","$f_S$",7,16,9,-372.147227884661,-368.073294573241,8.14786662283996,0.519316353943324,0.841584158415842,100,15.5881112892811,7.25916713077269
