"family","alt_name","param_label","k_null","k_alt","df","ll_null_obs","ll_alt_obs","Lambda_obs","p_chisq","p_boot","B_completed","Lambda_boot_mean","Lambda_boot_sd"
"SIRJPF2","xi","$\xi$",24,31,7,-880.559595457257,-880.835311720452,-0.551432526390272,1,0.910891089108911,100,7.53630401908352,6.21516616741678
"SIRJPF2","theta_Si_theta_Sn","$\theta_S$",24,38,14,-880.559595457257,-881.088617868475,-1.05804482243639,1,0.891089108910891,100,2.85772987131215,3.85698725430795
"SIRJPF2","theta_P","$\theta_P$",24,31,7,-880.559595457257,-878.320736850227,4.47771721406025,0.723398810599067,0.0792079207920792,100,0.820068569904121,2.22847668618821
"SIRJPF2","theta_Ii_theta_In","$\theta_I$",24,38,14,-880.559595457257,-867.756682198393,25.605826517728,0.029036851466134,0.148514851485149,100,16.3162165084289,8.69135285341184
"SIRJPF2","ri_rn","$r$",24,38,14,-880.559595457257,-883.932914138243,-6.74663736197226,1,0.98019801980198,100,20.5860775311153,13.9133873355461
"SIRJPF2","probi_probn","$p$",24,38,14,-880.559595457257,-868.035344202197,25.0485025101207,0.0340915725190935,0.217821782178218,100,18.4340324157672,9.73376925478368
"SIRJPF2","f_Si_f_Sn","$f_S$",24,38,14,-880.559595457257,-881.52687057333,-1.93455023214574,1,0.97029702970297,100,17.2872241212403,10.9417607959321
"SRJF2","f_Si_f_Sn","$f_S$",13,29,16,-701.172337725184,-720.720174622957,-39.0956737955471,1,1,100,6.08963287067264,13.6237526470999
"SRJF2","rn_ri","$r$",13,29,16,-701.172337725184,-725.742845448195,-49.1410154460236,1,1,100,5.04758302886005,13.6737747083475
"SRJF2","theta_Sn_theta_Si","$\theta_S$",13,29,16,-701.172337725184,-705.496674439794,-8.64867342922003,1,0.97029702970297,100,7.94581317298343,10.08239231111
